大类,类型,名称,动力装置,引信装置,制导系统,_id,图片,产国,关注度,弹长,研发单位,全重,研制时间,简介,最大速度,弹径,装药类型,尾翼装置
爆炸物,炸弹,塞伊（SEL）MK82/83/84低阻爆破炸弹,NULL,弹头/弹尾/头尾两用引信,NULL,{'$oid': '5cc93440831b973d657f2574'},NULL,意大利,NULL,3720毫米,塞伊公司（SEL）,908千克,80年代,"
塞伊（SEL）MK82/83/84低阻爆破炸弹是意大利塞伊公司在美国的MK80系列低阻通用爆破炸弹的基础上、于80年代为智利空军研制的新型低阻爆破炸弹。该系列炸弹装备于意大利空军的“狂风”、MB-326/329、AMX、“鹰”等战斗机。
",NULL,457毫米,NULL,NULL
爆炸物,炸弹,天鲨（Skyshark）子母炸弹,NULL,定时引信（子母炸弹），近炸/触发（小弹）,NULL,{'$oid': '5cc93440831b973d657f2575'},NULL,意大利,NULL,5000毫米,意大利飞机公司,NULL,80年代中期,"
天鲨（Skyshark）子母炸弹由意大利公司和斯尼亚BPD公司于80年代中期联合研制的新型子母炸弹，称之为“多功能投放式武器”。最初是为了填补预定在90年代服役的“模式防区外武器”问世之前的空白，但随着后者已被取消，“天鲨”项目仍然作为子母炸弹加以发展。该系列炸弹拟装备于意大利空军的“狂风”、MB-326/329、AMX、“鹰”以及其他国家的F-16、“幻影”、“美洲虎”等战斗机。
",NULL,810毫米,NULL,NULL
爆炸物,炸弹,威尔哥（Virgo）减速炸弹,NULL,近炸引信,NULL,{'$oid': '5cc93441831b973d657f2576'},NULL,瑞典,NULL,1900毫米,FFV军械公司,123千克,1956年,"
威尔哥（Virgo）减速炸弹是由瑞典FFV军械公司专门为瑞典皇家空军的攻击机实施低空高速轰炸而研制，1956年开始研制，1963年进入服役，装备于A32“矛盾”、A35“龙”、和AJ134“雷”攻击机，主要用于攻击登陆艇、停放的飞机、高炮、野战火炮、轻型防护装甲车辆以及有生力量。
",NULL,214毫米,NULL,NULL
爆炸物,炸弹,卡多恩MK81/82/83/84 低阻爆破炸弹,NULL,弹头/弹尾/头尾两用引信,NULL,{'$oid': '5cc93441831b973d657f2577'},NULL,智利,NULL,1810毫米,智利卡多恩工业公司,121千克,80年代,NULL,NULL,228毫米,NULL,NULL
爆炸物,炸弹,250/500/1500/3000kg3型低阻爆破炸弹,NULL,弹头/弹尾引信,NULL,{'$oid': '5cc93441831b973d657f2578'},NULL,中国,NULL,3500毫米,中国北方工业（集团）总公司,980千克,NULL,"
250/500/1500/3000kg3型低阻爆破炸弹是中国自行研制并装备使用的新一代航空炸弹，属于低阻爆破炸弹，适用于高速飞机外挂投弹，在该系列基础上改进发展了250/500/1000kg4型系列减速炸弹，适宜于战术攻击飞机实施高速、低空突防轰炸，尤其是超低空水平轰炸。
",NULL,500毫米,NULL,NULL
爆炸物,炸弹,斯布(CB)子母炸弹,NULL,电子定时引信(子母弹箱)，触发/近炸引信(小弹),NULL,{'$oid': '5cc93441831b973d657f2579'},NULL,智利,NULL,2050毫米,智利卡多恩工业公司,60千克,80年代初,NULL,NULL,260毫米,NULL,折叠式尾翼
爆炸物,炸弹,怪兽(GRIFFIN)激光制导炸弹,NULL,弹头/弹尾/头尾两用引信,NULL,{'$oid': '5cc93441831b973d657f257a'},NULL,以色列,NULL,NULL,以色列飞机工业公司,240千克,80年代中后期,NULL,NULL,273毫米,NULL,切梢三角形固定式尾翼
爆炸物,炸弹,阿塔普(ATAP)-1000 子母炸弹,NULL,定时引信(子母弹箱)，触发引信(小弹),NULL,{'$oid': '5cc93441831b973d657f257b'},NULL,以色列,NULL,2120毫米,以色列军事工业公司,450千克,70年代中期,NULL,NULL,406毫米,NULL,4片固定式稳定尾翼
爆炸物,炸弹,法马伊MK81/82/83/84 低阻爆破炸弹,NULL,弹头/弹尾/头尾两用引信,NULL,{'$oid': '5cc93442831b973d657f257c'},NULL,智利,NULL,1920毫米,智利法马伊(FAMAE)公司,120千克,NULL,"
该系列低阻炸弹设计思想和战术使用，与美国的MK80系列炸弹相同，口径系列完全一样。适用于北约组织各国和其他国家空军的高速飞机外挂投弹。图为Mk80炸弹。
",NULL,220毫米,NULL,NULL
爆炸物,炸弹,威布(WB)子母炸弹,NULL,电子定时引信(子母弹箱)，触发引信(小弹),NULL,{'$oid': '5cc93442831b973d657f257d'},NULL,智利,NULL,2400毫米,智利费里马尔公司,113千克,80年代中期,NULL,NULL,320毫米,NULL,折叠式尾翼
爆炸物,炸弹,塔尔1/2(TAL1/2)子母炸弹,NULL,定时引信(子母弹箱)，触发引信(小弹),NULL,{'$oid': '5cc93442831b973d657f257e'},NULL,以色列,NULL,2340毫米,以色列拉斐尔公司,220千克,70年代中期,NULL,NULL,406毫米,NULL,NULL
