制造商,生产年限,类型,名称,大类,数量,有效射程,_id,图片,产国,全枪重,关注度,战斗射速,参战情况,简介,发射性能,口径,弹匣容弹量,全枪长
乌克兰Fort工厂,2005年至今,手枪,Fort 14 TP手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93257831b973d657f1aa5'},NULL,乌克兰,0.89千克,NULL,NULL,NULL,"
前苏联解体后，乌克兰开始发展自己的军工产业，并用Fort 14 TP手枪取代马卡洛夫手枪。
",自动枪支,9毫米,14发,222毫米
史密斯-韦森公司,1954年-1980年,手枪,史密斯-韦森M59手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93257831b973d657f1aa6'},NULL,美国,0.785千克,NULL,NULL,NULL,"
M59是史密斯-韦森第一代半自动枪支之一。该枪基本上与M39相同，M59依旧是发射9毫米鲁格弹，但它使用了更宽阔的枪身和直形的握把背护片以对应14 发容量的双排弹匣。M59握把后缘呈直形，而M39握把为弧形，很容易进行区分。M59的改进型M559曾与伯莱塔92式手枪、西格一绍尔P226等著名手枪一同参加美军制式手枪选型试验，得到军方用户的较高评价。
",半自动枪支,9毫米,14发,189毫米
美国柯尔特公司,1990年-1997年,手枪,柯尔特双鹰手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93257831b973d657f1aa7'},http://images.huanqiu.com/sarons/2013/08/a3a1329a73633ee09dd4170f8e1f0b3f.jpg,美国,1.1千克,NULL,NULL,NULL,"
柯尔特“双鹰”手枪是柯尔特公司在早期Series 70政府型双动发射机构手枪上重新进行现代化设计而研发的，于1990年-1997年期间生产。柯尔特公司原本对该枪给予了很大期望，希望该枪能成为新一代0.45英寸口径自动手枪的标杆，但最终却事与愿违。
",自动枪支,11.43毫米,8发,216毫米
阿斯特拉公司,1993年-1996年,手枪,阿斯特拉A-75手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93257831b973d657f1aa8'},http://images.huanqiu.com/sarons/2013/08/b1a581abc820738c0e68e13563e8510a.jpg,西班牙,0.88千克,NULL,NULL,NULL,"
该枪可以说是A-70手枪的双动型，结构紧凑而结实，可发射两种大威力枪弹。最初装备警察和军队，后来在民用市场销售也大获成功。1994年发布了铝制套筒座型号，并准备于1995年生产使用0.45英寸CAP枪弹的型号，但不久阿斯特拉公司便倒闭了。
",半自动手枪,11.43毫米,8发,166毫米
斯普林菲尔德公司,1989年-1993年,手枪,斯普林菲尔德P9手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93257831b973d657f1aa9'},http://images.huanqiu.com/sarons/2013/08/6db86ab3be86e243d6154d9a22adc4b1.jpg,美国,1千克,NULL,NULL,NULL,"
该枪实际是为斯普林菲尔德兵工厂（一家私人公司，而不是政府建立的机构，于1975年倒闭）生产的捷克CZ75手枪。两者之间有细微差别，如该枪采用环状击锤，而不像CZ75那样使用直齿式击锤，套筒座的轮廓也有所不同。该枪有3种口径，并有紧凑型和枪管加长型。
",半自动手枪,9毫米,16发,206毫米
奥地利斯太尔曼利夏公司,1999年至今,手枪,斯太尔M/S系列手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93257831b973d657f1aaa'},http://images.huanqiu.com/sarons/2013/08/16ad74ac13bf4ec4adc0fe53b2a450da.jpg,奥地利,0.78千克,NULL,NULL,NULL,斯太尔M系列是斯太尔曼利夏公司针对奥地利警察和民用市场，而开发的一系列半自动手枪。,半自动枪支,9毫米,12发,180毫米
史密斯-韦森公司,1994年,手枪,史密斯-韦森西格玛手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93257831b973d657f1aab'},NULL,美国,0.737千克,NULL,NULL,NULL,"
西格玛手枪是史密斯-韦森公司将复合材料用于枪械上的一次尝试，其套简座采用高强度聚合物材料。它采用当前流行的自动待击(或仅双动)发射机构，无需准备就可发射。基本型使用0.40英寸史密斯-韦森手枪弹，但也有使用9×19毫米巴拉贝鲁姆手枪弹的型号，还有一款使用9毫米短弹的超小型手枪。
",NULL,10.16毫米,15发,188毫米
德国武器及弹药兵工厂 ,1908年-1945年,手枪,巴拉贝鲁姆P’08手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93258831b973d657f1aac'},http://images.huanqiu.com/sarons/2013/08/7a2a8397dd5da518e35362695e397050.jpg,德国,0.85千克,NULL,NULL,NULL,"
巴拉贝鲁姆P’08手枪又称鲁格P'08，是乔治·鲁格在1900年研制的博尔夏特（HugoBorchardt）手枪的改进型。实验品于1899年研制成功。1900年开始投入改良品的生产，是世界上第一把制式军用半自动手枪（被瑞典采用）。其后有不断进行改革。于1908年被选为德军的制式手枪并命名为Parabellum08（“P”代表Pistole）。作为制式自卫武器，在德军服役达30年之久。
",半自动手枪,9毫米,8发,223毫米
阿卡迪亚机器和工具公司（AMT）,1977年,手枪,AMT Hardballer手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93258831b973d657f1aad'},http://images.huanqiu.com/sarons/2013/08/59bf6fc7b6f3c372f22cf704992f99f7.jpg,美国,1.303千克,NULL,NULL,NULL,"
阿卡迪亚机器和工具公司（AMT，Arcadia Machine & Tool）公司仿照柯尔特政府型1911A1手枪制造E的一款全不锈钢结构自动手枪。
",自动枪支,11.43毫米,7发,216毫米
英国特别行动队的工厂，BSA公司,1942年-1945年,手枪,维尔德Markl型手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93258831b973d657f1aae'},http://images.huanqiu.com/sarons/2013/08/aa250ccb4dc42e059b4bca1a7c43bc21.jpg,英国,1.1千克,NULL,NULL,NULL,"
维尔德手枪是一款非常出色的无声手枪，1942年由位于维尔戈登市的英国特别行动队的工厂研制，随后由BSA公司生产。其特点是准星位于枪管中间。两种口径的型号都使用标志Mark 1，最常见的7.65毫米型是无扳机护圈且弹匣扣位于握把后部的Mark 2。
",自动枪支,9毫米,7发,312毫米
阿根廷希斯潘诺公司,1927年至1955年,手枪,巴利斯特·莫利纳手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93258831b973d657f1aaf'},NULL,阿根廷,1.1千克,NULL,NULL,第二次世界大战,"
该枪外观很像COLTM1911手枪，这是因为该枪是在柯尔特技术人员的帮助下研发的。但也存在一些不同之处，如没有握把保险，击锤外形不同，扳机是转动式的，而不像M1911那样是滑动式的；二者的内部构造也有所不同。虽然存在这些差别，胆巴利斯特莫利纳的外观与M1911极其相似，弹夹也相同。通常，其抛光处理不如M1911考究，但性能可靠，坚固耐用。盟军于1919年到1943年生产了大量这样的手枪。
",自动枪支,11.43毫米,7发,228毫米
西班牙斯塔-博尼法齐厄谢弗里亚公司,1993年-1996年,手枪,星式M40费尔斯塔手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93258831b973d657f1ab0'},http://images.huanqiu.com/sarons/2013/08/c2148e96185222bba9d038be0a70da19.jpg,西班牙,0.855千克,NULL,NULL,NULL,在这种口径的手枪中，M40算得上非常紧凑的一款枪型，其尺寸小于同等转轮手枪和同等威力自动手枪。它便于隐藏，套筒在套筒座的导槽中运动，这有助于提高可靠性和精确度，新一代星式手枪都有这样的特征。还有一种结构相同的M45星式手枪，但发射0.45英寸AcP手枪弹。两者唯一明显的差别在于套筒：M45从头到尾的宽度相同，而M40前部宽度缩小。另外，M45要比M40长5毫米，全枪重为1025克。星式手枪于20世纪90年代末停产。,半自动手枪,11.43毫米,6发,165毫米
阿斯特拉公司,1990年,手枪,阿斯特拉A-100手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93258831b973d657f1ab1'},http://images.huanqiu.com/sarons/2013/08/be57f34e7a834aa4d7925a7d3fe0d1bd.jpg,西班牙,0.985千克,NULL,NULL,NULL,"
阿斯特拉A-100是阿斯特拉公司于1990年开始制造的半自动手枪。随着A-90的问世，A-80便不再生产，但市场对无手动保险枪型仍有需求。另外，海外市场更喜欢弹匣扣位于握把顶部、扳机后方的手枪。A-100能够满足这些需求，同时改进了保险机构，并发射0.45英寸手枪弹。该枪还采用了A-90的大容量弹匣。
",半自动手枪,9毫米,15发,180毫米
比利时FN公司,1990年至今,手枪,勃朗宁大威力Mark2手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93258831b973d657f1ab2'},http://images.huanqiu.com/sarons/2013/08/dc3271a8a37d11f754977dcb4c3359f0.jpg,比利时,1千克,NULL,NULL,NULL,"
勃朗宁大威力Mark2手枪，是比利时FN公司在1980年代初推出的一种Mark I型的改进型，一个升级版大威力型手枪。
",NULL,9毫米,6发,200毫米
巴西军用物资工业公司（IMBLE）,1973年至今,手枪,IMBLE M973/MDl手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93259831b973d657f1ab3'},http://images.huanqiu.com/sarons/2013/08/a4788ac1fda540cad78d201fd7e6c3e6.jpg,巴西,1千克,NULL,NULL,阿富汗战争，伊拉克战争,"
IMBLE M973/MDl手枪仅仅是美国柯尔特M1911A1手枪授权生产下的复制品。其稳定的性能和硬朗的外观设计赢得了巴西人的青睐。
",半自动枪支,9毫米,7发,216毫米
西班牙斯塔-博尼法齐厄谢弗里亚公司,1993年-1998年,手枪,星式末格斯塔手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93259831b973d657f1ab4'},NULL,西班牙,1.4千克,NULL,NULL,NULL,"
该枪为质量较大的全尺寸手枪，采用大容量弹匣：0.45英寸型容弹量为12发，10毫米型容弹量14发且稍重。与费尔斯塔手枪一样，该枪的套筒也在套筒座内，这保证了其准确性。星式手枪于20世纪90年代末停产。
",半自动手枪,11.43毫米,12发,212毫米
美国鲁格公司,1987年至今,手枪,鲁格GP100转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93259831b973d657f1ab5'},http://images.huanqiu.com/sarons/2013/08/81b46abda8ce6e658572f62266076139.jpg,美国,1.2千克,NULL,NULL,NULL,1987年，鲁格GP100取代“安全6型”成为美国警察标准配枪。该枪根据经验做了很多改进，例如，退壳杆套完全覆盖退壳杆，这在一定程度上增加了枪口重量，而扳机护圈是一个独立的部件。这是一款坚固耐用的转轮手枪，还将继续使用多年。,转轮手枪,9.652毫米,6发,238毫米
NULL,1894年-1917年,手枪,欧文•约翰逊安全自动转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93259831b973d657f1ab6'},http://images.huanqiu.com/sarons/2013/08/f7f13383fc8d3838a47df7f7ebc85986.jpg,美国,0.44千克,NULL,NULL,NULL,"
与同期的其他转轮手枪一样，这里的自动指的是枪管打开后自动退壳，而无击锤指的是击锤内藏。虽然在这款手枪中，击锤隐藏在枪身内，但其他制造商通常采用击锤型号的枪身，并添加一个轻金属套。枪名中的“安全”源于欧文·约翰逊击锤传导杆系统，它可以防止击锤误撞击针而发射枪弹。只有正确扣动扳机，移动扳机和击锤之间的传导杆才会发射枪弹。处于待击状态时，这还可避免手枪跌落而走火。
",自动转轮枪支,9毫米,6发,191毫米
美国鲁格公司,1969年-1987年,手枪,鲁格警用6型转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93259831b973d657f1ab7'},http://images.huanqiu.com/sarons/2013/08/d73f90c980ec6fce9290693026407852.jpg,美国,0.95千克,NULL,NULL,NULL,该枪外形类似于鲁格“安全6型”，但改进了握把，脊框处有瞄准槽而不是使用独立照门。这种改进旨在便于在短距离内快速进行战斗射击，并避免因匆忙插入枪套或其他原因导致照门偏斜。该枪深受欢迎，广泛用于美国警察部队和家庭防卫。,转轮手枪,9毫米,6发,254毫米
西格-绍尔公司,1988年,手枪,西格-绍尔P228手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93259831b973d657f1ab8'},http://images.huanqiu.com/sarons/2013/08/2b5d1fcbbe1e8d68d2dd270530475dee.jpg,瑞士,0.83千克,NULL,NULL,NULL,"
西格-绍尔P228于1988年面市，旨在完善西格系列手枪，提供一款采用大容量弹匣的紧凑型手枪。该枪的大部分零件与P225和P226相同，也采用自动击针保险系统和双动扳机控制系统。可根据使用者的需求，将弹匣扣安装在套筒座的任何一侧。
",半自动手枪,9毫米,13发,180毫米
奥地利格洛克公司,1983年至今,手枪,格洛克17型手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93259831b973d657f1ab9'},http://images.huanqiu.com/sarons/2013/08/da16ebba8ffb642397f857eec6b3cd78.jpg,奥地利,0.62千克,NULL,NULL,NULL,"
格洛克17（Glock 17）是由奥地利格洛克公司设计及生产的第一支手枪，发射9×19毫米鲁格弹，标准弹匣为17发。
",半自动枪支,9毫米,17发,186毫米
加拿大帕拉军械公司,1991年至今,手枪,帕拉军械公司P14手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93259831b973d657f1aba'},NULL,加拿大,1.1千克,NULL,NULL,NULL,NULL,半自动枪支,11.43毫米,13发,216毫米
瑞士工业公司(SIG公司) 德国绍尔父子有限公司,1978年-2002年,手枪,西格P225手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9325a831b973d657f1abb'},NULL,瑞士,0.74千克,NULL,NULL,NULL,"
该枪为P220的紧凑型，是西格公司为满足德国警察的需求于20世纪70年代中期开发的，它采用9毫米口径，携带安全，不必操作任何保险装置即可呈待击状态。这是因为和其他西格系列手枪一样，采用自动击针保险和待击解脱杆，可满足德国警察的需求。该枪被瑞士和德国警察大量采用。
",半自动手枪,9毫米,8发,180毫米
西格-绍尔公司,1995年-2002年,手枪,西格-绍尔P239手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9325a831b973d657f1abc'},http://images.huanqiu.com/sarons/2013/08/073a2be60feca36bcb0403c922e4f124.jpg,瑞士,0.58千克,NULL,NULL,NULL,NULL,半自动手枪,9毫米,8发,172毫米
西格-绍尔公司以及美国Swiss Arms公司,1991年-2002年,手枪,西格-绍尔P229手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9325a831b973d657f1abd'},NULL,瑞士,0.87千克,NULL,NULL,NULL,"
西格-绍尔P229是一款紧凑型军用型半自动手枪，它是SIG P226手枪的紧凑型版本。该枪外观上与内部机构都和前型P228是一样的，P229与P228的主要区别是在口径和套筒设计上。
",半自动手枪,9毫米,12发,180毫米
保加利亚阿尔克斯公司,1994年至今,手枪,阿尔克思94／98DA手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9325a831b973d657f1abe'},http://images.huanqiu.com/sarons/2013/08/7238ed09cdc066c59bcde96a7d939e2f.jpg,保加利亚,0.97千克,NULL,NULL,NULL,NULL,半自动枪支,9毫米,13发,230毫米
美国鲁格公司,1968年,手枪,鲁格安全6型转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9325a831b973d657f1abf'},http://images.huanqiu.com/sarons/2013/08/6e8216b41bf2d4082e9b8d0ab7057b86.jpg,美国,0.95千克,NULL,NULL,NULL,20世纪50年代初期，鲁格公司追随当时的潮流，开始进军转轮手枪市场，生产单动型西部手枪。由于其取得了巨大成功，柯尔特公司也重新开始生产单动型手枪，其他公司也纷纷加入其中。鲁格公司凭借这款优良可靠的手枪成功地进入了警用枪市场。“速度6型”与该枪相同，但采用圆形握把，并可发射0.385英寸特种枪弹。,转轮手枪,9.779毫米,6发,235毫米
瑞士工业公司德国绍尔公司,1975年-2002年,手枪,西格P220手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9325a831b973d657f1ac0'},http://images.huanqiu.com/sarons/2013/08/01691f39b6394dd68118bd3767eb85b5.jpg,瑞士,0.75千克,NULL,NULL,NULL,"
该枪由瑞士工业公司和德国绍尔公司共同生产，1975年装备瑞士军队，现为日军制式手枪。该枪是公认的世界名枪，性能出众，整体设计严谨、精确，人机功效好，射击精度高。为了减轻重量、降低成本，其枪架尽可能使用金属冲压和铝制品制成，制作、抛光标准极为严格，脏物及灰尘很难进入枪内，不易阻塞，并且极易拆卸和维护。
",半自动手枪,9毫米,9发,198毫米
巴西陶鲁斯国际制造公司,NULL,手枪,陶鲁斯PT52S手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9325b831b973d657f1ac1'},NULL,巴西,0.8千克,NULL,NULL,NULL,"
陶鲁斯PT52S手枪，沿袭了PT92AF手枪独特的控制杆和可拆卸性，是巴西陶鲁斯国际制造公司制造的一款紧凑型自由枪机式手枪。
",半自动,9毫米,12发,180毫米
史密斯-韦森公司,1981年,手枪,史密斯-韦森586/686转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9325b831b973d657f1ac2'},http://images.huanqiu.com/sarons/2013/08/3100bb1b9a3f2b65807a45138b9a8774.jpg,美国,1.4千克,NULL,NULL,NULL,"
该枪使用烤蓝碳钢(586型)和不锈钢(686型)，采用“L”型枪身，发射0.357英寸马格努姆转轮手枪弹，是史密斯-韦森公司销售最快的转轮手枪之一。
",转轮手枪,9.06毫米,6发,351毫米
史密斯-韦森公司,1950年,手枪,史密斯-韦森M36官员专用转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9325b831b973d657f1ac3'},http://images.huanqiu.com/sarons/2013/08/77654e222e06fcb8696e817325a7c0b1.jpg,美国,0.694千克,NULL,NULL,NULL,该枪为史密斯-韦森公司于1950年设计的首款“J”型枪身、5发双动型转轮手枪。名称源于它首次出现在1950年在科罗拉多举行的警官会议上。,转轮手枪,11.43毫米,5发,191毫米
西格公司,1949年-2006年,手枪,西格P210手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9325b831b973d657f1ac4'},NULL,瑞士,0.9千克,NULL,NULL,NULL,"
世界上最优秀的手枪之一，二战期间由西格公司开发。P210有多种型号，1型为军用型号，于1949年被瑞士军方采用，命名为M49手枪，另外也装备了丹麦军队；2型为警用型；而4型则是为当时的西德边防警察研制的；5型是比赛型，枪管较长，比赛型扳机；6型是后来定型生产的民用型，和2型接近，但用5型的扳机，6型枪在1982年停产，现在又复产；7型为.22口径比赛枪；8型为德国生产的德国枪，不过德国仿造的P210通常又带有一个数字9，如：P210-2-9，P210-5-9，P210-6-9等。
",半自动手枪,9毫米,8发,215毫米
NULL,1940年-1954年,手枪,史密斯-韦森0.38/200英国制式转轮手枪,枪械与单兵,890000,NULL,{'$oid': '5cc9325b831b973d657f1ac5'},http://images.huanqiu.com/sarons/2013/08/cfe2d329fca1e491799b4c38a2d38d30.jpg,美国,0.68千克,NULL,NULL,NULL,"
与M1917一样，该枪也是为满足英国军方在二战中的需求而设计的标准用枪。它与M&P的唯一区别在于使用的枪弹尺寸不同，它发射0.38英寸的200格令枪弹，也可使用0.38英寸史密斯-韦森标准枪弹和0.38英寸柯尔特新警用枪弹。该枪大约生产了890000支，早期型号使用102、127和152毫米(4、5和6英寸)3种不同的枪管。所有型号都经过烤蓝和抛光处理，采用防滑方格握把，并标有史密斯-韦森公司的雕饰图案。1942年4月后，统一使用127毫米(5英寸)枪管，采用磨砂烤蓝表面处理，握把为胡桃木制成。
",转轮手枪,9.652毫米,6发,258毫米
H&R有限责任公司（哈灵顿和理查德森）,1897年-1940年,手枪,哈林顿-理查德森0.38英寸自动退壳型转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9325b831b973d657f1ac6'},http://images.huanqiu.com/sarons/2013/08/1cfd741f29323b7347b4ff8a68561548.jpg,美国,0.42千克,NULL,NULL,NULL,"
该枪是20世纪初的另一款著名袖珍转轮手枪，比其所有竞争对手的生产时间都长。1945年以后，该枪再次出现，握把外形有所改变。由于便于携带，因此3.35英寸和4英寸枪管的最常见。
",转轮手枪,9.652毫米,5发,187毫米
西格公司（瑞士轻武器公司）,1972年-2002年,手枪,西格P230手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9325b831b973d657f1ac7'},http://images.huanqiu.com/sarons/2013/08/8e65b78a969c104ff497ac2c5dbf5311.jpg,瑞士,0.46千克,NULL,NULL,NULL,NULL,半自动手枪,9毫米,7发,168毫米
西格公司,1997年-2002年,手枪,西格P232手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9325b831b973d657f1ac8'},NULL,瑞士,0.5千克,NULL,NULL,NULL,NULL,半自动手枪,7.65毫米,8发,168毫米
西班牙阿斯特拉公司,1921年至1950年,手枪,阿斯特拉400手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9325c831b973d657f1ac9'},http://images.huanqiu.com/sarons/2013/08/c57b88f591b050254d9b6b324683f486.jpg,西班牙,0.88千克,NULL,NULL,西班牙内战,NULL,半自动枪支,9毫米,8发,235毫米
霍普金斯-阿伦武器公司（Hopkins&Allen Arms）,1907年-1914年,手枪,普金斯-阿伦0.38英寸安全警用转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9325c831b973d657f1aca'},NULL,美国,0.46千克,NULL,NULL,NULL,"
该枪除枪管闭合的卡销和独特的扳机机构外，该枪与同时期的其他手枪无太大差别。击锤安装在古怪的轴承上，后拉并松开击锤时，击锤将撞击枪身而不是击针。扣动扳机将旋转轴承并释放击锤，这样击锤才能撞击击针。这就是其名称中包含“安全”的原因。该枪制作精良，设计完美，但数量不多，因为只生产了7年。
",转轮手枪,9.65毫米,5发,185毫米
NULL,1968年,手枪,丹•韦森转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9325c831b973d657f1acb'},http://images.huanqiu.com/sarons/2013/08/51feb44844a4cc86fd9845caa263b809.jpg,美国,1.1千克,NULL,NULL,NULL,"
虽然外观传统，但丹•韦森转轮手枪的独特之处在于可更换枪管和握把，用户可根据打猎、比赛和自卫等不同需求调整配置。该枪可使用从0.22英寸长步枪弹到0.45英寸柯尔特枪弹等各种枪弹，枪管长52毫米(2英寸)到381毫米(15英寸)不等，但并非所有枪管都可使用各种口径的枪弹。可拆卸枪管像通常那样旋入枪身，还有可拆卸的管套，都使用特殊部件固定。正确组装后，探测规可确保转轮尾端干净整洁，而管套紧扣枪管。
",转轮手枪,11.43毫米,6发,305毫米
韩国大宇集团,1993年至今,手枪,大宇DP51手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9325c831b973d657f1acc'},http://images.huanqiu.com/sarons/2013/08/97171cf40bcbb6c220cb9fe739e3e26b.jpg,韩国,0.8千克,NULL,NULL,NULL,NULL,自动枪支,9毫米,13发,190毫米
南非丹尼尔地面系统公司（DLS）,1995年至今,手枪,维克托SP手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9325c831b973d657f1acd'},http://images.huanqiu.com/sarons/2013/08/ef8d480f562ea2f0f41ef54ea96cb859.jpg,南非,0.995千克,NULL,NULL,NULL,NULL,半自动枪支,9毫米,15发,210毫米
NULL,1948年-1954年,手枪,Kirrikale手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9325c831b973d657f1ace'},NULL,土耳其,0.7千克,NULL,NULL,NULL,"
该枪是土耳其生产的瓦尔特PP手枪的仿制品，与德国产品几乎完全相同。1952年，Kirrikale Tufek手枪改称为Makina veKimya Endustrisi，最后两年生产的产品有“MKE”标志。套筒左侧通常标有美国分销商的名称“FIREARMS CENTER
INCVICTORIA，TEXAS”。
",半自动手枪,7.65毫米,7发,168毫米
前南斯拉夫扎斯塔瓦武器公司,1977年至今,手枪,M70式手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9325c831b973d657f1acf'},http://images.huanqiu.com/sarons/2013/08/c7356461f721bb05023420a8db888e2b.jpg,塞尔维亚,0.74千克,NULL,NULL,NULL,NULL,半自动枪支,7.65毫米,8发,165毫米
SIG公司德国绍尔父子公司,1981年-2002年,手枪,西格P226手枪,枪械与单兵,500000,NULL,{'$oid': '5cc9325c831b973d657f1ad0'},http://images.huanqiu.com/sarons/2013/08/6e50339f25769606f802bc7d0371d672.jpg,瑞士,0.75千克,NULL,NULL,NULL,"
该枪于20世纪80年代末期开发，参加了美国军用手枪的选型竞争，距选中仅一步之遥，只是由于价格原因而落选。实际上，该枪是在P220的基础上采用了大容量弹匣和左右手都可操作的弹匣扣，弹匣扣位于扳机后方、握把前缘，而不是握把底部。该枪80％的零件与P220和P225相同。尽管没有被美军采用，但多家美国联邦机构购买了该枪，其商业销售业绩也非常好，到1995年，该枪生产了约50万支。
",半自动手枪,9毫米,15发,196毫米
瑞士司芬尼克斯公司,1985年,手枪,司芬尼克斯AT2000／3000手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9325c831b973d657f1ad1'},NULL,瑞士,1千克,NULL,NULL,NULL,NULL,半自动手枪,9毫米,15发,204毫米
西班牙阿斯特拉公司,1922年至1947年,手枪,阿斯特拉300手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9325d831b973d657f1ad2'},http://images.huanqiu.com/sarons/2013/08/1cd92393e8031b9dfac70ba8e060ac29.jpg,西班牙,0.56千克,NULL,NULL,NULL,NULL,自动枪支,9毫米,7发,165毫米
美国柯尔特制造公司,1895年-1943年,手枪,柯尔特袖珍型转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9325d831b973d657f1ad3'},http://images.huanqiu.com/sarons/2013/08/043f467414eba76a824a3bc2b96bb726.jpg,美国,0.455千克,NULL,NULL,NULL,"
该枪为新型袖珍手枪的改进版，新增了独特的Positive safety（绝对安全）。编号为30000以上的手枪都有Positive Safety部件。这些手枪可发射0.32英寸柯尔特转轮手枪长弹和0.38英寸史密斯-韦森转轮手枪长弹。这些转轮手枪的弹巢有微小差别，旨在发挥各种枪弹的最佳性能，也可安全地使用这两种枪弹。
",转轮手枪,8.128毫米,6发,215毫米
美国柯尔特公司,1955年,手枪,柯尔特巨蟒转轮手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9325d831b973d657f1ad4'},http://images.huanqiu.com/sarons/2013/08/6c633ec7c2a73f18a2fa8bf2ab8c0c74.jpg,美国,1.4千克,NULL,NULL,NULL,"
柯尔特巨蟒，又称柯尔特狂蟒。它是二战后柯尔特最主要的双动式转轮手枪，因射击精确而闻名，膛线缠度为1：14。早期产品外表镀镍，后采用不锈钢和烤蓝碳钢结构的型号取代。有少部分采用203毫米（8英寸）枪管，只能发射0.38英寸史密斯-韦森特种枪弹。
",转轮手枪,9.652毫米,6发,343毫米
中国北方工业公司,NULL,手枪,0.22RF85型匕首手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9325d831b973d657f1ad5'},NULL,中国,0.33千克,NULL,NULL,NULL,NULL,NULL,5.588毫米,3发,265毫米
FN赫斯塔尔公司,NULL,手枪,9毫米FN BDA9手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9325d831b973d657f1ad6'},http://images.huanqiu.com/sarons/2013/11/4811455f1d7c1e392b9e1acac48038d3.jpg,比利时,0.875千克,NULL,NULL,NULL,BDA9脱胎于它的前辈FN赫斯塔尔大威力手枪，都采用短后坐力方式，后膛下面有一个用来把枪管从滑套分离的凸轮。不同之处是，BDA9使用了双动扳机并在保险栓的位置有待击解脱杆，该待击解脱杆在枪身的两侧各有一支，因而左右手皆可操作。弹匣适宜右手拆卸，但惯用左手的人也能轻松拆卸和安装弹匣。护弓的形状适宜双手持枪。,NULL,9毫米,15发,200毫米
施泰尔-曼利夏有限公司,NULL,手枪,施泰尔特种用途手枪（SPP）,枪械与单兵,NULL,NULL,{'$oid': '5cc9325d831b973d657f1ad7'},NULL,奥地利,1.2千克,NULL,NULL,NULL,"
该特种用途手枪是一种闭锁后膛的枪，使用9毫米×19毫米口径帕拉贝鲁姆枪弹。
",NULL,9毫米,30发,322毫米
FN赫斯塔尔公司,NULL,手枪,FN赫斯塔尔5~7毫米五七手枪 ,枪械与单兵,NULL,NULL,{'$oid': '5cc9325d831b973d657f1ad8'},http://images.huanqiu.com/sarons/2013/11/e85ed594fc77425184245f8b2edc6065.jpg,比利时,0.744千克,NULL,NULL,NULL,NULL,NULL,5.7毫米,20发,208毫米
