大类,类型,名称,诞生时间,研发厂商,高度,_id,图片,产国,底盘类型,乘员与载员,车长,最大行程,关注度,宽度,简介,最大速度,战斗全重
坦克装甲车辆,主战坦克,IS重型坦克,1943年,N.V.Tseits设计局,2.73米,{'$oid': '5cc932d1831b973d657f1daf'},http://images.huanqiu.com/sarons/2013/12/1cc359b2c69d322f762a7c0b40d3a600.jpg,苏/俄,NULL,4人,9.9米,240公里,NULL,3.09米,"
IS重型坦克是一种苏联二战时代开始的坦克系列，该坦克是以约瑟夫·斯大林（Iosif Stalin）的名字命名的。坦克命名为“IS”（俄文字母ИС，就是斯大林的名字ИОСИФ · СТАЛИН的字头）。它的出现主要是由于德国的虎式坦克和黑豹坦克的冲击。主要型号有IS-1，IS-2，IS-3，IS-4，IS-7，IS-10以及实验型号IS-6，IS-8。
",37公里/小时,46738千克
坦克装甲车辆,主战坦克,BT-7快速坦克,1935年-1940年,NULL,2.42米,{'$oid': '5cc932d1831b973d657f1db0'},NULL,苏/俄,履带式,3人,5.66米,430公里,NULL,2.29米,"
BT-7是苏联骑兵坦克BT坦克的最后一型，在1935年至1940年间大量生产。此类坦克装备轻型装甲，但却有以其所处时代来看相对优良的火力和大大超过同时代其他坦克的机动性。BT坦克因其名称首字母发音而获得绰号Betka，或昵称为Betushka。

BT-7的继承者正是大名鼎鼎的T-34，后者于1940年面世，并将取代当时服役的所有苏联快速坦克、步兵坦克和中型坦克。
",72公里/小时,13900千克
坦克装甲车辆,主战坦克,KV重型坦克,1939年2月（设计），1940年2月（量产）,NULL,2.71米,{'$oid': '5cc932d1831b973d657f1db1'},http://images.huanqiu.com/sarons/2013/12/72118bdfde5276ca37355ba7f85d7f5f.jpg,苏/俄,NULL,5人,6.75米,335公里,NULL,3.32米,"
KV重型坦克的研制继承了T-35、CMK、T-100等重型坦克的有益成果，也为后来“斯大林”2号重型坦克的研制奠定了基础。在苏联坦克发展史上，它起着承前启后的重要作用。KV的诞生，一定程度上弥补了T-34防护和火力性能上的不足，其强大的火力和能与“虎”式相媲美的装甲，在战斗中具有很好的优势，协助机动性超群的T-34打嬴了卫国战争，打败了人类公敌法西斯。
",35公里/小时,45000千克
坦克装甲车辆,主战坦克,T14突击坦克,1941年,NULL,2.99米,{'$oid': '5cc932d2831b973d657f1db2'},http://images.huanqiu.com/sarons/2013/12/b8faee5bbea25f345b664b8077df6da7.jpg,美国,NULL,5人,6.19米,161公里,NULL,3.17米,"
T14突击坦克（Assault Tank T14）是二战时期美英的一个联合开发项目，T14的开发主旨是为美英双方提供能同用的重型坦克。1942年，英国最初预订了8,500架，但直至1944年T14的原型仍未完成，测验指出车辆在实际使用时严重过重，此时英军已大量采用丘吉尔坦克及其他坦克。1944年，根据军械局第26038号文件，T14坦克项目被取消。
",28公里/小时,41000千克
坦克装甲车辆,主战坦克,O-1型120吨重战车 ,1944年1月-1945年,NULL,4米,{'$oid': '5cc932d2831b973d657f1db3'},NULL,日本,NULL,11人,11米,NULL,NULL,4.2米,"
O-1型120吨超重战车以打击敌方坦克为主要任务，是100式100吨超重战车的后续发展型号，同样为多炮塔结构，在主炮塔前方与后部各有1个安装1门47mm战车炮的副炮塔，履带经过改良，接地压力减小，行动能力已可接受，火力更强大，装甲更厚实，主炮为1门威力非常强大的92式105mm野战加农炮，可以在远距离轻松的击毁盟军重型坦克，并有自动装弹机。
",20公里/小时,120000千克
坦克装甲车辆,主战坦克,T-60轻型坦克,1940年11月,NULL,1.75米,{'$oid': '5cc932d2831b973d657f1db4'},http://images.huanqiu.com/sarons/2013/12/0fbcb904e8d7695cd63d5f6ac8b4f24b.jpg,苏/俄,NULL,2人,4.1米,450公里,NULL,2.3米,"
T-60轻型坦克是苏联于1941年至1942年期间生产的轻型坦克。因其造价低廉且便于大量生产，二战期间共有超过6,292辆T-60被生产了出来。T-60在莫斯科战役中扮演了相当重要的角色。相比于其他苏军坦克，T-60在雪地，沼泽以及烂泥和水草地的机动性能是最好的。自列宁格勒战役以后T-60仅用于执行护卫运输车队和侦察等任务，以及作为ZIS-2反坦克炮和ZIS-3野战炮的火炮牵引车。他们也常常作为指挥车，T-60被一直用到了战争结束。
",44公里/小时,5800千克
坦克装甲车辆,主战坦克,BT-5快速坦克,1933年,NULL,2.21米,{'$oid': '5cc932d2831b973d657f1db5'},http://images.huanqiu.com/sarons/2013/12/dc6da99c4e77942657201259f10591f7.jpg,苏/俄,履带式,3人,5.52米,301公里,NULL,2.23米,"
苏联BT-5快速坦克于1933年在BT-2的基础上研制成功。 BT-5坦克在火力上得到加强，主要武器换装为1门1932年式45毫米火炮，战斗全重增至11.6吨，乘员仍为3人。
",111公里/小时,11500千克
坦克装甲车辆,主战坦克,T-37两栖侦察坦克,20世纪30年代,NULL,1.82米,{'$oid': '5cc932d2831b973d657f1db6'},http://images.huanqiu.com/sarons/2013/12/81aa666a6cd4906c24d9f3a9c63c1bee.jpg,苏/俄,履带式,2人,3.75米,185公里,NULL,2.1米,"
前苏联在30年代发展的一种小型的、轻型两栖坦克，并准备用来执行侦察任务。其贫弱的装甲和火力使T-37成为敌人的饲料，实际上作为侦察坦克，T-37是能胜任的，他的装甲和机枪足以应付敌人的步兵，但它不能担负战斗的重任。不惜一切代价顶住纳粹装甲力量的前苏联把所能搜罗到的武器，装甲车辆推上前线。毫无疑问，当T-37和T-38的乘员得知自己的坦克将被用于进攻时，他们很清楚自己必死的命运。
",35公里/小时,3200千克
坦克装甲车辆,主战坦克,T-100坦克,1939年9月,列宁格勒基洛夫设计局,3.24米,{'$oid': '5cc932d2831b973d657f1db7'},NULL,苏/俄,履带式,8人,8.38米,200公里,NULL,3.4米,"
Т-100重型坦克（俄语：Тяжелый танк Т-100）是前苏联的双炮塔重型坦克， 在1938年至1939年期间设计，原本列宁格勒基洛夫设计局是将此设计成超重型坦克，代号为“No.185”，后来发展出K-V坦克。SMK与Т-100重型坦克都是是前苏联的双炮塔重型坦克，也都是在1938年至1939年期间设计。SMK和T-100坦克制成样车后，一同向苏联国防委员会的成员们展示。最高统帅斯大林参观后，对这两辆样车提出了严厉的批评。T-100被宣布打入冷宫，该坦克前后仅制造出2台。
",36公里/小时,58000千克
坦克装甲车辆,主战坦克,T-27轻型坦克,20世纪30年代,NULL,1.44米,{'$oid': '5cc932d2831b973d657f1db8'},NULL,苏/俄,履带式,2人,2.6米,42公里,NULL,1.8米,"
T-27是前苏联于上个世纪30年代基于早期型“卡登-洛伊德” Mk Ⅳ改进开发的一种轻型坦克。在前苏联红军最初的机械化部队当中，这些T-27超轻型坦克扮演着非常重要的角色，但到后来，随着更先进的型号的发展，他们的作用开始下降。到了1937年1月1日，共有2547辆T-27仍在服役。
",120公里/小时,2700千克
坦克装甲车辆,主战坦克,T-50轻型坦克,1941年9月-1942年1月,金兹堡，特罗扬诺夫与OKMO设计局,2.16米,{'$oid': '5cc932d2831b973d657f1db9'},http://images.huanqiu.com/sarons/2013/12/794fb5da512d56595bd50f294463dd33.jpg,苏/俄,履带式,4人,5.2米,220公里,NULL,2.47米,"
T-50轻型步兵坦克是苏联于第二次世界大战爆发初期研制的轻型步兵坦克。该车的设计有许多先进的特点，但其车体复杂、生产昂贵，因此只有一段很短的生产时间，仅有69辆被制造了出来。此外，在准备大量生产该车时，苏联根据战时经验认为其没有继续生产之必要，终止了T-50极为短暂的生产时间。
",60公里/小时,14000千克
坦克装甲车辆,主战坦克,T-18坦克,1926年5月,NULL,2.1米,{'$oid': '5cc932d3831b973d657f1dba'},http://images.huanqiu.com/sarons/2013/12/7e549d9e90fa0f42dd63fb97dcf3b931.jpg,苏/俄,履带式,2人,4.38米,50公里,NULL,1.76米,"
T-18轻型坦克，也称为“MS-1小型护卫坦克”（俄语“Malyi Soprovozhdeniya MS-1”），后来被正式定型为“T-18”。原先这个古怪的名字取自20世纪20年代，“M”和“S”代表着“小”（Small）、“主力”（Main）和“高机动性”（Maneuverable），“Malyi Soprovozhdeniya”则意味着“小型护卫”。按照当时苏联对坦克的命名方法，MS-1被称为“小型护卫（支援）坦克”，而不是“轻型坦克”。是苏联的第一种量产坦克，其原型为法国在第一次世界大战时期生产的轻型坦克雷诺FT-17坦克以及苏俄在此基础上制造的俄罗斯雷诺坦克。
",17公里/小时,5900千克
坦克装甲车辆,主战坦克,SMK重型坦克,1939年,科京设计所,3.35米,{'$oid': '5cc932d3831b973d657f1dbb'},NULL,苏/俄,履带式,7人,8.75米,220公里,NULL,3.36米,"
SMK与Т-100重型坦克都是是前苏联的双炮塔重型坦克，也都是在1938年至1939年期间设计。SMK和T-100坦克制成样车后，一同向苏联国防委员会的成员们展示。最高统帅斯大林参观后，对这两辆样车提出了严厉的批评。斯大林尖锐地批评道：“专家同志们，你们想在坦克里开百货店吗?“这一席话等于将T-100和SMK坦克打入冷宫。幸好科金设计组立即调整部署，在SMK坦克的基础上，迅速设计出单一炮塔式的KV重型坦克，成为一代名车。
",35公里/小时,55千克
坦克装甲车辆,主战坦克,T-38两栖侦察坦克,20世纪30年代,尼古拉斯Astrov＆N科济列夫，37工厂,1.63米,{'$oid': '5cc932d3831b973d657f1dbc'},http://images.huanqiu.com/sarons/2013/12/707b16b9076dcb875c139773c65358b3.jpg,苏/俄,履带式,2人,3.78米,170公里,NULL,3.33米,"
T-38是苏联的一种两栖侦察兵坦克，参加冬季战争，二战。
",40公里/小时,3300千克
坦克装甲车辆,主战坦克,T-44中型坦克,1944年,第520设计局,2.4米,{'$oid': '5cc932d3831b973d657f1dbd'},NULL,苏/俄,履带式,4人,6.07米,350公里,NULL,2.64米,"
T-44坦克是前苏联在第二次世界大战开始生产的一种中型坦克，用以取代当时大量服役的T-34坦克。对比于T-34以及后来的T-54/55坦克，T-44仅生产很少，约2000辆左右。不过这辆坦克的诸多设计被沿用在稍后服役的T54/55与T-62等坦克上。
",53公里/小时,31800千克
坦克装甲车辆,主战坦克,T-28中型坦克,1932年,NULL,2.82米,{'$oid': '5cc932d3831b973d657f1dbe'},http://images.huanqiu.com/sarons/2013/12/0c2885930ca4736e187601e5bef45ff4.jpg,苏/俄,履带式,6人,7.44米,37公里,NULL,2.87米,"
T-28坦克是苏联研制的一种中型坦克，于1931年完成设计，从1932年晚期开始生产。T-28的设计主旨是用来支援步兵以突破敌人的坚强防线，该车也被设计为用来配合T-35重型坦克进行作战，两车也有许多零件通用。
",220公里/小时,28000千克
坦克装甲车辆,主战坦克,KV-85重型坦克,1943年,NULL,2.93米,{'$oid': '5cc932d3831b973d657f1dbf'},NULL,苏/俄,履带式,4人,6.9米,250公里,NULL,3.25米,NULL,40公里/小时,46000千克
坦克装甲车辆,主战坦克,T-35重型坦克,1933年-1938年,OKMO坦克设计局,3.43米,{'$oid': '5cc932d3831b973d657f1dc0'},http://images.huanqiu.com/sarons/2013/12/d08509817920296d6566b3e817e4b9d8.jpg,苏/俄,履带式,11人,9.72米,150公里,NULL,3.2米,"
T-35重型坦克是苏联在两次世界大战期间设计，在苏德战争初期使用的多炮塔重型坦克。它是世界上唯一有量产的5炮塔重型坦克，也是当时世界上最大的坦克，然而多炮塔坦克的机动力低下和不可靠在实战中被充分体现出来。所有的T-35坦克都在在德国入侵苏联的巴巴罗萨行动初期被击毁或者俘获，然而大部分损失的T-35坦克并非是被德军击毁，而是因为机械故障。虽然从外观上看来T-35的体型巨大，但内部极为狭窄且多隔间。

每一台T-35坦克都有做一些小小的改变，因此，每台T-35坦克都是独一无二的。
",30公里/小时,45000千克
坦克装甲车辆,主战坦克,IS-2重型坦克,20世纪40年代,NULL,2.73米,{'$oid': '5cc932d4831b973d657f1dc1'},http://images.huanqiu.com/sarons/2013/12/065858887625d1b3750b79bc674a1c7a.jpg,苏/俄,履带式,4人,9.9米,240公里,NULL,3.09米,NULL,37公里/小时,46738千克
坦克装甲车辆,主战坦克,E系列坦克,1943年4月（研制时间）,NULL,NULL,{'$oid': '5cc932d4831b973d657f1dc2'},NULL,德国,履带式,NULL,NULL,NULL,NULL,NULL,"
E系列是二战后期,德国为了应付盟军和苏军强大的坦克攻势,于1942年5月由德国第6兵工厂总工程师海因里希.克尼坎普正式提出的一个——在现有坦克和装甲车辆与未来坦克和装甲车辆寻找一个结合点，开发具有高通用性能的未来坦克发展计划。在1943年4月此计划开始，并被命名为E系列e（德语entwicklung的代称“发展”）。

   这些坦克战车的技术是相当先进的,其通用化的设计思想也相当富有前瞻性。遗憾的是，随着柏林城燃起的熊熊烈火,先进的E系列战车也和第三帝国一起埋没于历史之中,因此E系列也被称为末日战车。
",NULL,NULL
坦克装甲车辆,主战坦克,IS-10/T-10坦克,1952年,NULL,2.43米,{'$oid': '5cc932d4831b973d657f1dc3'},http://images.huanqiu.com/sarons/2013/12/9d72b8fea67dcecfa9450cd54f6a7aad.jpg,苏/俄,履带式,4人,7.41米,250公里,NULL,3.56米,"
IS坦克是一种苏联二战时代开始的以约瑟夫·斯大林（Iosif Stalin）的名字命名坦克系列，德国将它称为JS坦克，而俄文写作ИС坦克。IS-10坦克（又被称为Obyekt 730，即730工程）该计划最初以IS-8为开发名，后经历数次设计改动，更名为IS-10。在1953年斯大林死后为避开政治纠纷改名为T-10坦克，生产了三千辆。
",42公里/小时,52000千克
坦克装甲车辆,主战坦克,BT-4快速坦克,20世纪30年代,NULL,NULL,{'$oid': '5cc932d4831b973d657f1dc4'},NULL,苏/俄,履带式,NULL,NULL,NULL,NULL,NULL,"
BT坦克（俄语：Быстроходный танк (БТ)，Bystrokhodny tank）意即快速坦克，共有BT-1至BT-7共有7个型号(有时BT-7M也被称为BT-8)。其中BT-4快速坦克改用焊接车身，只建造了三辆。
",NULL,NULL
坦克装甲车辆,主战坦克,KV-1重型坦克,1940年2月,NULL,2.71米,{'$oid': '5cc932d4831b973d657f1dc5'},http://images.huanqiu.com/sarons/2013/12/c69cc308067f43c1a16785cca5bea726.jpg,苏/俄,履带式,5人,6.75米,335公里,NULL,3.32米,"
KV-1坦克（俄语：Клим Ворошилов-1）是苏联在第二次世界大战中的主力重型坦克KV系列第一型，以苏联国防人民委员会委员—克里门特·伏罗希洛夫元帅命名。KV坦克系列以它们的厚重装甲为名；德国进攻苏联时，KV坦克是少数同时能抵挡37和50毫米口径反坦克炮的坦克。在德国的巴巴罗萨行动以前，苏联的22000辆坦克中约有500辆KV-1坦克服役。随着KV-1坦克的成功，苏联相继研发了它的改良版：KV-2、KV-85和诸多衍生型。
",35公里/小时,45000千克
坦克装甲车辆,主战坦克,BT-3快速坦克,20世纪30年代,NULL,NULL,{'$oid': '5cc932d4831b973d657f1dc6'},NULL,苏/俄,履带式,NULL,NULL,NULL,NULL,NULL,"
BT-3快速坦克(BT坦克意即快速坦克，俄语：Быстроходный танк (БТ)，Bystrokhodny tank），是前苏联BT前苏联系列坦克中的一型。
",NULL,NULL
坦克装甲车辆,主战坦克,BT-1快速坦克,1931年,NULL,NULL,{'$oid': '5cc932d4831b973d657f1dc7'},NULL,苏/俄,履带式,NULL,NULL,NULL,NULL,NULL,"
苏联一直重视轻骑兵的作用，所以要求坦克具有很高的速度，这就使苏联坦克设计人员对美国的“克里斯蒂”坦克机动性很好。1930年，苏联便向美国购买了两辆“克里斯蒂”坦克。1931年在经过沃罗涅什进行了广泛的试验，同年苏联设计了一种基于“克里斯蒂”坦克的简化型坦克。称为BT-1快速坦克。 不幸的是，BT-1坦克经试验不适合作战要求，生产了两辆样车之后就停产了。
",NULL,NULL
坦克装甲车辆,主战坦克,BT坦克,1931年,NULL,2.29米,{'$oid': '5cc932d5831b973d657f1dc8'},NULL,苏/俄,履带式,3人,14.5米,250公里,NULL,5.56米,"
BT坦克意即快速坦克，型号有BT-1至BT-7共有7个型号(有时BT-7M也被称为BT-8)，BT坦克是第二次世界大战时T-34坦克的前身。
",86公里/小时,14500千克
坦克装甲车辆,主战坦克,IS-6重型坦克,20世纪40年代,科京设计所,NULL,{'$oid': '5cc932d5831b973d657f1dc9'},NULL,苏/俄,履带式,NULL,NULL,NULL,NULL,NULL,"
IS坦克是一种苏联二战时代开始的坦克系列，它是以约瑟夫·斯大林（Iosif Stalin）的名字命名的。德国将它称为JS坦克，而俄文写作ИС坦克。它的出现主要是由于德国的虎式坦克和黑豹坦克的冲击。

IS-6重型坦克在库尔斯克缴获的数辆“斐迪南”被送到苏联库宾卡试验场的装甲车辆检验中心“简称NIIBT”进行电气传动的测试，科京进行了仔细的研究。早在战争其间他就使用库存的IS-1坦克底盘制作出电气传动的“IS－1E”样车。而“二五三工程”的电气传动系统则基于385千瓦的DK－305A型发电机研制而成，样车被命名为IS-6。可是在试车当天就发生了大爆炸，全车报废、火焰和冲击波甚至波及三十米开外的仓库。事后才发现未给电气传动系统安装冷却装置！
",NULL,NULL
坦克装甲车辆,主战坦克,IS-1重型坦克,20世纪40年代,车里雅宾斯克基洛夫工厂设计局,2.73米,{'$oid': '5cc932d5831b973d657f1dca'},NULL,苏/俄,履带式,4人,9.9米,240公里,NULL,3.09米,"
IS坦克是一种苏联二战时代开始的坦克系列，它是以约瑟夫·斯大林（Iosif Stalin）的名字命名的。德国将它称为JS坦克，而俄文写作ИС坦克。它的出现主要是由于德国的虎式坦克和黑豹坦克的冲击。

IS-1是IS系列的第一种坦克，库尔斯克战役后苏联将KV-85和KV-1S的设计结合加以更强的火力装甲而成，原型称为IS-85，生产后定名为IS-1。IS-1的炮塔设计后来被移植到T-34中型坦克(T-34战车)上，形成了后者产量最大的型号T-34/85。
",37公里/小时,46738千克
坦克装甲车辆,主战坦克,SU-100坦克歼击车,1944年9月,苏联第九兵工厂,2.25米,{'$oid': '5cc932d5831b973d657f1dcb'},NULL,苏/俄,履带式,4人,9.45米,320公里,NULL,3米,"
SU-100驱逐战车，是由苏联所研制的驱逐战车，取代苏联原有的SU-85驱逐战车，活跃于二次大战末期。战争结束后也于苏联在世界各地的盟国服役多年。
",48公里/小时,31600千克
坦克装甲车辆,主战坦克,SU-85驱逐坦克,1943年-1944年,NULL,2.45米,{'$oid': '5cc932d5831b973d657f1dcc'},NULL,苏/俄,履带式,4人,6.1米,400公里,NULL,3米,"
SU-85为苏联于第二次世界大战中研制的一种自行火炮、驱逐坦克。其车体以著名的T-34中型坦克为底盘。早期的苏联自行火炮不是用来作为突击炮，如SU-122者，就是当作具有机动力的反坦克武器，而SU-85即属于后者。SU-85的SU代表俄语：Samokhodnaya Ustanovka，意为自行火炮载具，而85则表示它的武器—85公厘D-5T火炮。
",55公里/小时,29600千克
坦克装甲车辆,主战坦克,T-46轻型坦克,30年代,185工厂,NULL,{'$oid': '5cc932d6831b973d657f1dcd'},http://images.huanqiu.com/sarons/2014/01/69c1f0674a79d54d231b149fe2066cbe.jpg,苏/俄,履带式,NULL,NULL,NULL,NULL,NULL,NULL,58公里/小时,NULL
坦克装甲车辆,主战坦克,一号喷火坦克 ,1932年,亨舍尔公司,1.72米,{'$oid': '5cc932d6831b973d657f1dce'},NULL,德国,履带式,2人,4.02米,145公里,NULL,2.06米,NULL,37公里/小时,5400千克
坦克装甲车辆,主战坦克,PzKpfw VI/六号坦克/虎式 ,1942年4月17日,NULL,2.93米,{'$oid': '5cc932d6831b973d657f1dcf'},NULL,德国,履带式,5人,8.45米,NULL,NULL,3.7米,NULL,NULL,NULL
坦克装甲车辆,主战坦克,PzKpfw V/五号坦克/豹式/黑豹 ,40年代,NULL,2.995米,{'$oid': '5cc932d6831b973d657f1dd0'},http://images.huanqiu.com/sarons/2014/01/85cdebe20f5365150396daad7b48c199.jpg,德国,履带式,5人,8.66米,250公里,NULL,3.27米,"
）是第二次世界大战中纳粹德国所制造的中型坦克。制式编号为Sd.Kfz.171。其后，由于“五号坦克（V号坦克）”这个名称被废除，所以在后来以“豹式坦克（）”作为制式名称，亦有资料为译成“黑豹坦克”。

从1943年开始服役以来，一直被评为在第二次世界大战期间最出色的坦克。时至今日，亦成为近代战斗车辆战斗力的评价标准。
",55公里/小时,44800千克
坦克装甲车辆,主战坦克,KV-2重型坦克,1939年,NULL,3.65米,{'$oid': '5cc932d6831b973d657f1dd1'},NULL,苏/俄,履带式,6人,6.79米,140公里,NULL,3.32米,"
KV-2坦克（俄文：Клим Ворошилов-2）是苏联在第二次世界大战中的主力重型坦克KV系列的第二型。原先坦克开发部仅将其命名为“装备大炮台的KV”（KV s bolshoi bashnei），随着正式纳入军方采用而给予了“KV-2”的称呼，苏联士兵则称其为“无畏战舰”（KV s bolshoi bashnei）。搭载152mm榴弹炮的它拥有强大的火力，其巨大车体被德军称为“巨人”（Gigant）。从1940年到1941年，KV-2坦克（包含加产的试制型）共生产了202辆。
",25.6公里/小时,53100千克
坦克装甲车辆,主战坦克,PzKpfw VII /七号坦克/狮式 ,40年代,克鲁勃公司,3.08米,{'$oid': '5cc932d6831b973d657f1dd2'},NULL,德国,履带式,5人,7.74米,160公里,NULL,3.83米,NULL,NULL,NULL
坦克装甲车辆,主战坦克,四号D型坦克,1939年,NULL,NULL,{'$oid': '5cc932d6831b973d657f1dd3'},NULL,德国,履带式,5人,6.63米,210公里,NULL,2.88米,NULL,40公里/小时,23500千克
坦克装甲车辆,主战坦克,PzKpfw II/二号坦克,1937年7月（二号A型）,MAN，戴姆勒·奔驰,2米,{'$oid': '5cc932d7831b973d657f1dd4'},http://images.huanqiu.com/sarons/2014/01/df6315665f7d34948f93cbb6a6ebaa30.jpg,德国,履带式,3人,4.8米,200公里,NULL,2.2米,NULL,40公里/小时,7.2千克
坦克装甲车辆,主战坦克,PzKpfw III/三号坦克,1930年,戴姆勒·奔驰,2.5米,{'$oid': '5cc932d7831b973d657f1dd5'},http://images.huanqiu.com/sarons/2014/01/b241149e1ea5b867cd1e32d7e107940b.jpg,德国,履带式,5人,5.52米,155公里,NULL,2.9米,NULL,40公里/小时,22000千克
坦克装甲车辆,主战坦克,PZ.38(t) ,1938年1月,捷克斯洛伐克斯柯达厂（Skoda）,2.4米,{'$oid': '5cc932d7831b973d657f1dd6'},NULL,捷克,履带式,4人,4.61米,250公里,NULL,2.14米,在第二次世界大战初期，捷克的LT-38轻型坦克是很有名气的一种坦克。除了它本身的性能不错之外，还由于德国人利用它制造出一系列变型车，在战场上发挥了不小的作用。LT-38轻型坦克，德国人称德国人称为38(t)。PZ.38(t)是捷克斯洛伐克斯柯达厂制造的LTvz-38轻坦克，德军编号Sd.Kfz140 PZ.38(t)，由著名的斯科达（Skoda）兵工厂所制造，于1938年末起服役于捷军，1939年3月德国并吞捷克之后，鉴于此车设计优良，遂以PZ.38(t)的名号继续使用，一直到大战后期都还能看到此车的变种继续为德国在各地奋战。,42公里/小时,9500千克
坦克装甲车辆,主战坦克,PzKpfw Ⅳ/四号坦克,二战前,克虏伯,2.88米,{'$oid': '5cc932d7831b973d657f1dd7'},http://images.huanqiu.com/sarons/2014/01/c99848461140fd307558d045febbe439.jpg,德国,履带式,5人,7.02米,320公里,NULL,2.88米,NULL,42公里/小时,25000千克
坦克装甲车辆,主战坦克,LT-35/PZkpfw35(t) ,1935年10月30日,CKD公司,2.35米,{'$oid': '5cc932d7831b973d657f1dd8'},NULL,德国,履带式,NULL,4.9米,190公里,NULL,2.1米,NULL,35公里/小时,10500千克
坦克装甲车辆,主战坦克,一号D型坦克,未知,NULL,1.945米,{'$oid': '5cc932d8831b973d657f1dd9'},http://images.huanqiu.com/sarons/2014/01/5154dfc9ca1241d6c29a83b0fb24687a.jpg,德国,履带式,NULL,4.195米,300公里,NULL,1.92米,"
德国武器局曾计划试验性地发展一种一号“重装甲步兵突破坦克”，顾名思义就是牺牲部分机动性，带有厚重装甲用来掩护步兵冲击敌军要塞的支援坦克。一号坦克D型(VK 6.02)则是在C型(6.01)的基础上加厚装甲的改进型。
",79公里/小时,8000千克
坦克装甲车辆,主战坦克,PzKpfw VII/八号坦克/鼠式,1942年,保时捷车厂,3.63米,{'$oid': '5cc932d8831b973d657f1dda'},NULL,德国,履带式,NULL,10.085米,286公里,NULL,3.7米,NULL,NULL,188000千克
坦克装甲车辆,主战坦克,96A主战坦克,不详,NULL,2.3米,{'$oid': '5cc932d8831b973d657f1ddb'},NULL,中国,履带式,3人,10.65米,650公里,NULL,3.45米,NULL,65公里/小时,42000千克
坦克装甲车辆,主战坦克,一号C型坦克,1939年,NULL,1.945米,{'$oid': '5cc932d8831b973d657f1ddc'},http://images.huanqiu.com/sarons/2014/01/f93b9724eaed38c29c8003d6fa484f39.jpg,德国,履带式,NULL,4.195米,300公里,NULL,1.92米,1938年秋天，德国陆军兵器局与Krauss-Maffei (以下简称KM)、MAN和Daimler-Benz(以下简称DB三个厂签约，着手开发新型的一号与二号坦克。新型的一号坦克重量设定为6吨，代号VK601，要求轻量与高速，做为空降与侦察坦克。原型车在1939年秋天与冬天完成组装与测试，正面装甲为30mm，侧装甲14.5mm，与当时的四号坦克相当，可以抵挡20mm炮的攻击。从1942年7月至12月共有40辆C型出厂并在东西部战线作战。,79公里/小时,8000千克
坦克装甲车辆,主战坦克,索玛S-35中型坦克,1936年,索玛（Somua）公司,2.62米,{'$oid': '5cc932d8831b973d657f1ddd'},NULL,法国,履带式,3人,5.38米,230公里,NULL,2.21米,NULL,40.7公里/小时,19500千克
坦克装甲车辆,主战坦克,LT-H型轻型坦克,1938年,布莱达公司,NULL,{'$oid': '5cc932d8831b973d657f1dde'},http://images.huanqiu.com/sarons/2014/01/3510a4a2ca4fe17f7f3c9148937e7c52.jpg,捷克,履带式,3人,NULL,250公里,NULL,NULL,"
在LT-35轻型坦克定型前后，捷克SDK（后为SDK/布莱达公司）还研制出一批出口型坦克，包括AH-IV型和LT-H型轻型坦克，后两种坦克比较有名。

1938年定型的LT-H型轻型坦克，主要向瑞士出口。装20毫米火炮的LT-H坦克，主要提供给纳粹德国的喽罗-拉脱维亚军队和斯洛伐克军队。
",45公里/小时,7600千克
坦克装甲车辆,主战坦克,AMC 35骑兵坦克,1936年5月7日,雷诺公司、AMX,2.336米,{'$oid': '5cc932d8831b973d657f1ddf'},NULL,法国,履带式,3人,4.572米,161公里,NULL,2.235米,NULL,42公里/小时,14500千克
坦克装甲车辆,主战坦克,一号B型训练坦克,1936年,NULL,1.72米,{'$oid': '5cc932d8831b973d657f1de0'},http://images.huanqiu.com/sarons/2014/01/6c48c9da15db82e368b9e275fe201d88.jpg,德国,履带式,NULL,4.42米,170公里,NULL,2.06米,"
早在战前德军就已开始用一号坦克训练坦克驾驶员。这种训练坦克是没有上层结构的一号B型坦克底盘，四周加装护栏以免颠簸时学员被甩出车外。从1936年至1938年11月共改造出164辆训练坦克。
",40公里/小时,5800千克
坦克装甲车辆,主战坦克,一号B型坦克,1935年,NULL,1.72米,{'$oid': '5cc932d8831b973d657f1de1'},NULL,德国,履带式,NULL,4.42米,170公里,NULL,2.06米,"
由于克鲁伯制气冷引擎出力不足，因此改换装了梅巴赫NL38 TR引擎。由于换装了新引擎，因此引擎室延长了40厘米，连带车体延长，因此路轮从A型的四组增为五组，多增加了一个独立的路轮和履带支轮，履带的长度因而增加，而车尾的惰轮也因此自地面往上提高。从1935年至1937年生产了675辆。
",40公里/小时,5800千克
坦克装甲车辆,主战坦克,D1坦克,1928年,雷诺公司,2.4米,{'$oid': '5cc932d8831b973d657f1de2'},http://images.huanqiu.com/sarons/2014/08/07f7f52dc162aa34405796bf38f915a9.jpg,法国,履带式,3人,5.76米,90公里,NULL,2.16米,NULL,19公里/小时,14000千克
坦克装甲车辆,主战坦克,FCM F1超重型坦克,1941年,法国地中海冶金造船厂,4.21米,{'$oid': '5cc932d9831b973d657f1de3'},http://images.huanqiu.com/sarons/2014/08/279bb78dec76545e7990c959fc36c1f6.jpg,法国,履带式,9人,10.53米,200公里,NULL,3.1米,NULL,20公里/小时,139000千克
