飞行速度,图片,研发单位,乘员,简介,最大航程,发动机,生产单位,发动机数量,大类,类型,产国,退役时间,空重,翼展,最大飞行速度,名称,_id,首飞时间,关注度,旋翼直径,机高,服役时间,最大起飞重量,气动布局,机长
亚音速,http://images.huanqiu.com/sarons/2014/01/d996a9589ccf2d7728d12c8ed6ab6b44.jpg,川西公司、空技厂,1人,NULL,280千米,静推力300kg [ カ ] 10型 脉冲喷射发动机 ×1 ,NULL,单发,飞行器,战斗机,日本,NULL,750千克,NULL,556千米每小时,脉冲喷射发动机推进式自杀攻击机,{'$oid': '5cc930a2831b973d657f0fe6'},NULL,NULL,NULL,NULL,二战期间尚未服役,1430千克,平直翼,NULL
亚音速,http://images.huanqiu.com/sarons/2014/01/c2a8fa15464fb1187ace75e72184b060.jpg,三菱重工,1人,NULL,1200千米,一具中岛寿41型风冷式发动机（710匹马力）,NULL,单发,飞行器,战斗机,日本,NULL,1216千克,11米,440千米每小时, A5M/96式舰载战斗机,{'$oid': '5cc930a3831b973d657f0fe7'},NULL,NULL,NULL,3.2米,NULL,1822千克,平直翼,7.55米
超音速,http://images.huanqiu.com/sarons/2014/01/d3c4c91143690e81a9bcea8010e5a996.jpg,NULL,2人,NULL,3890千米,2台199-34R MK 103涡轮风扇后燃式发动机,泛那维亚财团,双发,飞行器,战斗机,英国,NULL,13890千克,26.6米,2475千米每小时,狂风战斗机,{'$oid': '5cc930a3831b973d657f0fe8'},1974年8月14日,NULL,NULL,5.95米,1979年,28000千克,变后掠翼,16.72米
亚音速,http://images.huanqiu.com/sarons/2014/01/297cc0822d989b397be0aba6023b1681.jpg,空技厂／横须贺,1人,NULL,36千米,NULL,NULL,单发,飞行器,战斗机,日本,1945年,440千克,5.12米,630千米每小时,MXY-7樱花特别攻击机,{'$oid': '5cc930a3831b973d657f0fe9'},1944年10月,NULL,NULL,1.16米,1945年,2140千克,平直翼,6.06米
亚音速,NULL,三菱重工 ,NULL,"
九试单座战斗机（日语：九試単座戦闘機）是日本三菱重工在1934年制造的战斗机，且为九六式舰载战斗机的原型机。成品为型号“カ-14”（Ka-14）的九试单座战斗机。
",NULL,600马力寿5型9汽缸星型引擎,NULL,单发,飞行器,战斗机,日本,NULL,1040千克,11米,450千米每小时,九试单座战斗机,{'$oid': '5cc930a4831b973d657f0fea'},1935年2月4日,NULL,NULL,3.27米,NULL,NULL,平直翼,7.67米
超音速,http://images.huanqiu.com/sarons/2014/01/4dd0c8669065b7ba0f48d9b1061baac8.jpg,NULL,1人,NULL,1130千米,IAI制TF40-IHI-801A涡轮扇发动机两台 出力22.8仟牛顿（普通）、32.5仟牛顿（后燃器启动）,三菱集团，富士重工,双发,飞行器,战斗机,日本,2006年3月9日,6358千克,7.88米,1960.128千米每小时,F-1战斗机,{'$oid': '5cc930a4831b973d657f0feb'},NULL,NULL,NULL,4.45米,NULL,13700千克,后掠翼,17.85米
亚音速,NULL,NULL,2人,NULL,2000千米,NULL,梅塞施密特公司（Messerschmitt）,双发,飞行器,战斗机,德国,NULL,6300千克,17.4米,675千米每小时,Me 265战斗机,{'$oid': '5cc930a5831b973d657f0fec'},NULL,NULL,NULL,3.8米,NULL,11000千克,NULL,10米
亚音速,http://images.huanqiu.com/sarons/2014/01/abe74f12465ed4cbfbc8681c87f2e24b.jpg,三菱重工,1人,"
日本在1932年4月期间，大日本帝国海军分别向中岛飞机、三菱重工提出设计能够取代九O式舰上战斗机的新型飞机。之后中岛飞机设计出九一式战斗机，而三菱重工一方则指派由堀越二郎担任主要设计者；开发出日本史上第一架低翼飞机、编号“1MF10”的“七试舰上战斗机”，其机身则由杜拉铝金属打造。最后三菱的七试舰上战斗机方案未遭日本海军青睐而取消，主要设计者堀越二郎也对此成品未有好评，但七试舰上战斗机的设计概念则被崛越二郎引用于后来的九六式舰载战斗机上。
",NULL,A-4星型14汽缸星型引擎，570马力,三菱重工,单发,飞行器,战斗机,日本,NULL,1225千克,10米,320千米每小时,1MF10 七试舰上战斗机,{'$oid': '5cc930a5831b973d657f0fed'},1933年3月,NULL,NULL,3.36米,NULL,NULL,平直翼,6.92米
亚音速,NULL,NULL,1人,"
日本陆军三式战斗机川崎Ki-61 飞燕（Hien）为土井武夫设计，日本陆军在第二次世界大战中唯一量产的液冷式活塞引擎战机。最初作战遭遇时，由于倒置V型汽缸DB引擎的机鼻特征被盟军误认为是德国军援或授权生产的Bf 109，但后续报告又从外型布局判断认为较似意大利的Macchi C.202，因此获得了意大利风格的盟军代号""Tony""。
",1800千米,川崎 ハ-40 倒V型12缸液冷活塞引擎（1175 HP）,川崎重工,单发,飞行器,战斗机,日本,NULL,2380千克,12米,590千米每小时,Ki-61飞燕/三式战斗机,{'$oid': '5cc930a5831b973d657f0fee'},1941年,NULL,NULL,3.7米,NULL,3616千克,平直翼,8.75米
亚音速,http://images.huanqiu.com/sarons/2014/01/0b23929d7817a7987392071c4a072abb.jpg,NULL,1人,"
日本陆军二式单座战斗机中岛Ki-44钟馗，盟军绰号""Tojo""，是日军在第二次世界大战中的高空拦截型战斗机；1940年起到1944年共生产1175架。原定钟馗作为高空拦截战机用为了克制美国的轰炸机队，后来发现性能不足所以在一型乙开始换装轰炸机用的Ha-109引擎，钟馗于试飞期间的模拟作战曾经击败川崎重工的Ki-60及德国运来的Bf-109E。战争后期也确实成为日本本土被轰炸时的防御主力。
",1600千米,中岛Ha-109（1500马力）,日本中岛飞机公司 ,单发,飞行器,战斗机,日本,NULL,2109千克,9.45米,605千米每小时,Ki-44钟馗/2式单座战斗机,{'$oid': '5cc930a5831b973d657f0fef'},1940年8月,NULL,NULL,3.248米,1941年11月,2764千克,NULL,8.85米
亚音速,http://images.huanqiu.com/sarons/2014/01/591e02db8a1f91aebbb4e0dc5de3d0d8.jpg,NULL,1人,"
跟随欧洲高速战机理念，模仿德国高速飞机制作的一种战机，武器与发动机全部是从德国进口，1941年3月试飞，试飞员报告该机控制性差，翼载大，着陆速度过大，后来与Ki44钟馗做了空战性能测试，空战性能全面低于钟馗，于是就停了，只造几架。
",NULL,标称1100马力 德国DB601A V型液冷12缸发动机 ×1,NULL,单发,飞行器,战斗机,日本,NULL,2150千克,NULL,560千米每小时,Ki-60试作战斗机,{'$oid': '5cc930a5831b973d657f0ff0'},1941年3月,NULL,NULL,NULL,NULL,2750千克,平直翼,NULL
亚音速,http://images.huanqiu.com/sarons/2014/01/aa1d68f3d7d3a2d2727bebd10def68d2.jpg,三菱重工,3人,"
B2M八九式舰上攻击机是日本帝国海军在中日战争初期使用的舰载鱼雷/水平轰炸机，此机是三菱重工依照英国T.7B舰载鱼雷/水平轰炸机的设计而来。八九式舰上攻击机的初期型名叫B2M1，在被使用后受到飞行员批评，认为它稳定性和操纵性不好兼且维修困难，为此三菱推出改良型B2M2，把它的主翼改短和修改了机尾形状，但B2M2仍然恶评如潮，日本飞行员都想尽快有新机种去取代它。
",NULL,水冷式发动机(650匹马力),NULL,单发,飞行器,战斗机,日本,NULL,2260千克,14.98米,213千米每小时,89式舰上攻击机,{'$oid': '5cc930a5831b973d657f0ff1'},1929年12月28日,NULL,NULL,3.6米,NULL,3600千克,平直翼,10.18米
亚音速,http://images.huanqiu.com/sarons/2014/01/082decadedd90d06bb5afcee83d8be0d.jpg,NULL,2人,"
F-16XL是一种基于F-16战斗机生产型改装而来的验证试验机，属于F-16战斗机的衍生机型，共改装了两架，该机延续了F-16战斗机的特点，又在此基础上做了较大改变，使其多项性能远优于前者。测试证明这种改造是成功的，后来参与了双重任务战斗机的竞标，但因不敌竞争对手而落败，1985年试飞结束的F-16XL被封存。
",NULL, 普惠 F100-PW-200涡轮扇引擎,通用动力公司,单发,飞行器,战斗机,美国,NULL,8272千克,9.45米,2173千米每小时,F-16XL战隼战斗机,{'$oid': '5cc930a6831b973d657f0ff2'},1985年,NULL,NULL,5.09米,NULL,19187千克,三角面,15.02米
亚音速,NULL,NULL,1人,"
日本陆军X系列技术验证机之一，1940年研制，1943年完成，安装新式串联大功率液冷发动机，用于探索高空高速战机技术，安装有重型装甲，但原型机发动机散热不良，在几次试飞以后，发动机起火损坏。
",1000千米,川崎HA72-11（HA201）串联V型液冷24缸发动机 ×1,NULL,单发,飞行器,战斗机,日本,NULL,4050千克,13.5米,700千米每小时,Ki-64试作战斗机,{'$oid': '5cc930a6831b973d657f0ff3'},1943年,NULL,NULL,4.25米,NULL,5100千克,平直翼,11.03米
亚音速,http://images.huanqiu.com/sarons/2014/01/94c7b0ec40eaea4cf96e45facabe7055.jpg,梅塞施密特公司,2人,"
梅塞施密特Me 329(Messerschmitt Me 329)是一架由梅塞施密特公司于二次世界大战时设计与开发的重型战斗机原型。本来将会取代Me 410战斗机在德国空军里所扮演的角色。但战斗机的开发不被官方注目，当它的滑翔机模型第一次试飞的成绩出来后，这项计划便于1945年初被终止。
",2520千米, 2台戴姆勒-奔驰DB 603，2610千瓦（3500马力）,NULL,双发,飞行器,战斗机,德国,NULL,6950千克,17.5米,685千米每小时,Me 329战斗机,{'$oid': '5cc930a6831b973d657f0ff4'},NULL,NULL,NULL,4.74米,NULL,12150千克,飞翼,7.72米
亚音速,http://images.huanqiu.com/sarons/2014/01/7210692ed9676063f5566f968659b140.jpg,日本中岛飞机公司,1人,"
中岛九七式战斗机（盟军代号“Nate”、简称九七战，编号为Ki-27）是日本陆军在1930年代末期所开发的一种单发单座轻型战斗机，也是日本陆军装备的第一种下单翼结构战斗机。该机在太平洋战争初期曾广泛使用于中缅印战场，后期逐渐被更先进的型号，如一式陆战等所取代，幸存的飞机主要被作为教练机使用，也被神风特攻队用于自杀攻击。由于该机拥有极好的水平机动性，因此也被称为“终极的轻型战斗机”。
",800千米,中岛Ha-1乙型九汽缸空冷式发动机（610匹马力）,立川飞机制造厂，满洲飞机制造厂,单发,飞行器,战斗机,日本,NULL,1110千克,11.31米,460千米每小时,Ki-27/97式战斗机,{'$oid': '5cc930a6831b973d657f0ff5'},NULL,NULL,NULL,3.25米,1938年,1790千克,平直翼,7.53米
亚音速,http://images.huanqiu.com/sarons/2014/01/67dc6637f13ab5ed9f55ad053cd23f7c.jpg,日本中岛飞机公司,1人,"
旧日本陆军四式战斗机中岛Ki-84‘疾风’，盟军代号‘FRANK’，被公认是日军在第二次世界大战中最优秀的战斗机。
",2500千米,中岛ハ-45 一一型 (前期)、二一型 (后期),NULL,单发,飞行器,战斗机,日本,NULL,2698千克,11.24米,687千米每小时,Ki-84疾风/四式战斗机,{'$oid': '5cc930a6831b973d657f0ff6'},NULL,NULL,NULL,3.38米,NULL,3890千克,平直翼,9.92米
亚音速,http://images.huanqiu.com/sarons/2014/01/b17e1ade972ad15bc541ab4de92d1175.jpg,NULL,1人,"
雅克-38(原称雅克-36)是前苏联海军的舰载垂直起落战斗机，是苏联海军航空兵第一及唯一一款可供服役的垂直起降战斗机，同时也是苏联第一种实用化的固定翼舰载机型号。

雅克-38的诞生和苏联首批可起降固定翼战机的基辅级航空母舰有着密不可分的关系。主要用于对地面和海面目标实施低空攻击和侦察，并具有一定的舰队防空能力。北约组织给名叫“铁匠”(Forger)，该机“铁匠”A单座型战斗机和“铁匠”B双座教练型。
",1300千米,一台R-28升举/推进喷射发动机(推力=66.7kN)，2台RD-38升举喷射发动机(各自推力=31.9kN),雅克列夫设计局,双发,飞行器,战斗机,苏/俄,NULL,7385千克,7.32米,1280千米每小时,雅克-38战斗机,{'$oid': '5cc930a6831b973d657f0ff7'},1971年,NULL,NULL,4.25米,NULL,11700千克,后掠翼,16.37米
亚音速,NULL,米格设计局,1人,"
米格-1原名为I-200，于1938年开始研制，是米格设计局的飞机。由于当时苏联战斗机的命名方式改变，I-200改名为米格-1，是一款优秀的高速截击机。

1940年5月2日，米格-1在试飞中达到684.5公里/小时的速度，打破了当时的世界纪录。该机型一共生产了103架。
",580千米,一台水冷式发动机(1350匹马力),NULL,单发,飞行器,战斗机,苏/俄,1943年,2602千克,10.2米,657千米每小时,米格-1战斗机,{'$oid': '5cc930a7831b973d657f0ff8'},1940年4月,NULL,NULL,2.59米,NULL,3099千克,NULL,8.16米
亚音速,http://images.huanqiu.com/sarons/2014/01/fb9ed5a799af72e09fd9758395a87232.jpg,NULL,1人,"
1943年12月试飞，该机设计取消了后座机枪，认为战斗机在实战中后座机枪作用不大，所以该机为单座战机，该机格斗性能比双座的Ki45有提高。
",1600千米,标称1350马力   三菱4式（HA112-2）复列星型气冷14缸发动机 ,NULL,单发,飞行器,战斗机,日本,NULL,4550千克,NULL,600千米每小时,Ki-96试作双发战斗机,{'$oid': '5cc930a7831b973d657f0ff9'},1943年12月,NULL,NULL,NULL,NULL,6000千克,平直翼,NULL
亚音速,http://images.huanqiu.com/sarons/2014/01/9080021d7a415eb322c9641cc6f029d5.jpg,NULL,NULL,"雅克-25是苏联雅克福列夫设计局研制的双座双发亚音速截击机，1945年开始研制，1953年原型机首次试飞，1945年进入苏军服役,一直生产到1957年停产时共生产了480架。",2010千米,两台图曼斯基PД-9Б涡轮喷气发动机  ,苏联雅克福列夫设计局,双发,飞行器,战斗机,苏/俄,NULL,5675千克,11米,1090千米每小时,雅克-25战斗机,{'$oid': '5cc930a7831b973d657f0ffa'},1952年6月19日,NULL,NULL,3.8米,NULL,10045千克,后掠翼,16.67米
亚音速,NULL,满洲飞机制造厂,1人,"
陆军X系列秘密战机，由满洲飞机制造厂在战争末期试制，是一种战斗袭击机，机身采用海军X系列秘密战机震电的机身，机翼布局则模仿缴获的P38战斗机，但满洲飞机制造厂刚修好新厂房没多久战争就结束了，Ki98原型机没有完成全部制作，战争结束时未全部完工的Ki98被日本陆军自行销毁，工厂设备则在战后被苏俄搬走，Ki98设计主要用来在无护航的情况下扫射攻击对方前线重要机场，并且利用高速偷袭攻击对方空中飞行的轰炸机与战斗机，威胁压制对方的机场运行，另外还负责拦截高空入侵的敌轰炸机。
",1200千米,标称2207马力   三菱HA43-11复列星型气冷18缸发动机 ×1,NULL,单发,飞行器,战斗机,日本,NULL,3500千克,NULL,710千米每小时,Ki-98试作战斗袭击机,{'$oid': '5cc930a7831b973d657f0ffb'},NULL,NULL,NULL,NULL,NULL,5500千克,平直翼,NULL
亚音速,NULL,立川公司,1人,"
旧日本陆军X系列秘密战机，Ki94系列可算是日本陆军二战时期螺旋桨战斗机最高成就之一，有1型，2型2种，1型是双引擎1推1拉，装2台HA211空冷2，200马力发动机，是高空高速截击机。
",NULL,标称2200马力   HA211复列星型气冷18缸发动机,NULL,单发,飞行器,战斗机,日本,NULL,NULL,15米,800千米每小时,Ki-94-1高高度战斗机,{'$oid': '5cc930a7831b973d657f0ffc'},NULL,NULL,NULL,NULL,NULL,8798千克,平直翼,13.05米
亚音速,http://images.huanqiu.com/sarons/2014/01/85cbf2cb87fcdc1cd39083ca9e6c5f52.jpg,陆军航空工厂,2人,"
日本陆军X系列秘密战机，早在1939年日本陆军就认为战车的上部十分脆弱，可以利用飞机使用大口径机枪或航炮给予致命打击，所以有了发展反战车袭击机的想法，命令川崎公司预研。
",3000千米,标称2130马力 三菱HA214复列星型气冷18缸发动机 ×2,NULL,双发,飞行器,战斗机,日本,NULL,7686千克,NULL,624千米每小时,Ki-93试作袭击机,{'$oid': '5cc930a7831b973d657f0ffd'},NULL,NULL,NULL,NULL,NULL,10666千克,平直翼,NULL
亚音速,NULL,中岛重工,2人,"
月光夜间战斗机，是第二次世界大战中期后旧日本海军开始使用的夜间战斗机。美军的代号则为“Irving”。一反之前“X式XX战斗机”的制式命名风格，由本机开始改变命名准则，“月光”不只是昵称，而成为正式名称。
",3778千米,荣二一型,NULL,单发,飞行器,战斗机,日本,1945年8月15日,4562千克,17米,507.4千米每小时,J1N1-S月光夜间战斗机 ,{'$oid': '5cc930a8831b973d657f0ffe'},1943年5月20日 ,NULL,NULL,4.56米,NULL,7527千克,平直翼,12.13米
亚音速,NULL,立川公司,1人,"
这型飞机可以看做是日本陆军在螺旋桨战机方面的最高成就，此型战机的爬升速度，升限等性能达到活塞螺旋桨飞机的极限，日本陆军所拥有的一且航空技术都用上了。
",2200千米,标称2350马力   中岛HA219复列星型气冷18缸发动机,NULL,单发,飞行器,战斗机,日本,NULL,4860千克,14米,712千米每小时,Ki-94-2高高度战斗机,{'$oid': '5cc930a8831b973d657f0fff'},NULL,NULL,NULL,4.65米,NULL,6550千克,平直翼,12米
亚音速,NULL,NULL,2人,"
旧日本陆军X系列秘密战机，1944年11月18日试飞，速度快，控制反应性好，是旧日本陆军最强的战斗机之一，具有很高的格斗性能，并且飞行速度非常快，原本打算大量投产用于夺回太平洋制空权，但刚要投产就遇上了东海地震，生产Ki83的厂房设备被破坏，所以到战争期间仅造出了4架，后来都被美军缴获。
",2800千米,标称1720马力 三菱HA43-11型复列星型气冷18缸发动机 ×2,三菱重工,双发,飞行器,战斗机,日本,NULL,5980千克,NULL,704千米每小时,Ki-83远距离战斗机,{'$oid': '5cc930a8831b973d657f1000'},1944年11月18日,NULL,NULL,NULL,NULL,8930千克,平直翼,NULL
亚音速,http://images.huanqiu.com/sarons/2014/01/63d22d322ebe9e1feea33adef15428da.jpg,NULL,1人,"
日本陆军X系列秘密战机，是种高空截击机，用来克制B29，火力强大具有完善的装甲防护，速度快爬升率高，高空机动性能突出，可以轻易的追击B29，如果能投入实战那将会对B29构成严重威胁，这种飞机对B29的威胁程度几乎相当海军的震电与极电。
",3170千米,标称2350马力 中岛HA44-12复列星型气冷18缸发动机,NULL,单发,飞行器,战斗机,日本,NULL,4387千克,NULL,706千米每小时,Ki-87试作高高度战斗机,{'$oid': '5cc930a8831b973d657f1001'},NULL,NULL,NULL,NULL,NULL,6100千克,平直翼,NULL
亚音速,NULL,三菱,4人,"
旧日本陆军X系列秘密战机，Ki67是旧日本陆军二战期间性能最好的中型轰炸机，Ki67的性能很令日军满意，于是就在Ki67的基础上改装了一种重型拦截机Ki109，Ki109的空战性能对比野马等美军新式战机并不强，但Ki109装有一种日军二战时期最机密的对空武器，所以Ki109就成了严格保密的秘密战机，Ki109装的秘密武器是1门从陆军88式75mm远程高射炮修改出来的75mm重型航炮，日军研制这种航炮是因为在偌门坎事件后期，苏军的I16战机对日军轰炸机发射了航空火箭并击落了几架日军轰炸机，日军大惊，搞不清楚苏军用的是什么武器击落了日军的轰炸机，于是就不敢再出动轰炸机部队了。
",2000千米,标称1870马力  三菱4式（HA104）复列星型气冷18缸发动机,NULL,双发,飞行器,战斗机,日本,NULL,7424千克,NULL,550千米每小时,Ki-109试作特殊防空战斗机,{'$oid': '5cc930a9831b973d657f1002'},NULL,NULL,NULL,NULL,NULL,10800千克,平直翼,NULL
亚音速,http://images.huanqiu.com/sarons/2014/01/a6d82a39df5cdbc70d2113ae0db8157b.jpg,川崎重工,NULL,"
九五式战斗机是旧日本陆军最后的双翼战斗机。1934年，中岛和川崎争夺作为日本陆军新式战斗机，虽然中岛的Ki-11单翼战斗机比川崎的Ki-10双翼战斗机速度更快，但Ki-10有着更佳的格斗和爬升性能而中标，日本陆军把Ki-10命名为九五式战斗机，因为1935年是日本皇纪2595年，九五式战斗机可说是九二式战斗机的改良型，大幅减轻其重量和风阻以及采用金属制三叶螺旋桨而成。
",1100千米,一部水冷式发动机(850匹马力),川崎重工,单发,飞行器,战斗机,日本,1942年,1360千克,10.02米,400千米每小时,Ki-10/95式战斗机,{'$oid': '5cc930a9831b973d657f1003'},1935年3月,NULL,NULL,3米,NULL,1740千克,双翼,7.2米
NULL,http://images.huanqiu.com/sarons/2014/01/5ae29f3a8ccb15001ec7b2065b51237d.jpg,川崎重工,1人,"
Ki100也是战争末期日军实际投入了使用并对美军构成严重威胁的战斗机之一，但这种战机并非是专门设计的，其实是3式飞燕的改型，由于在地震和美军轰炸中川崎明石发动机厂被毁，新研制的HA140液冷发动机停产，当时一批准备安装HA140液冷发动机的Ki61已经完成的机身，但无发动机装配，于是川崎公司用一批闲置的HA112-2空冷1350马力发动机来取代HA140液冷发动机，1945年2月1日试飞，结果发现使用空冷发动机后由于机体更轻，操纵性能和机动性得到了很大改善，格斗性能大大提高，至于速度也没有受到太大影响，于是日军称呼装HA112发动机的Ki61为Ki100型，并给予5式战斗机的称号立即投产，1945.3-1945.8共生产了396架。
",2200千米,标称1350马力    三菱4式（HA112-2）复列星型气冷14缸发动机 ,NULL,单发,飞行器,战斗机,日本,NULL,2525千克,12米,580千米每小时,Ki-100/五式战斗机,{'$oid': '5cc930a9831b973d657f1004'},NULL,NULL,NULL,3.75米,NULL,3495千克,平直翼,8.82米
亚音速,http://images.huanqiu.com/sarons/2014/01/22859294a5657c0db3a9ede3090cf3d4.jpg,NULL,4人,"
雅克-28的原型机是一款超音速多用途飞机，它的改型雅克-28P是一款地地道道的战斗机/截击机，也是雅克局最后一款在前苏联空军服役的飞机。

该飞机完全是按照战术轰炸机的标准制造。雅克-28P，1958年3月首飞，1961年量产，到1967年停产前共制造了437架，原型机代号雅克-129。最后一架28P于80年代中期退役。
",2630千米,两台图曼斯基R-11AF-2-300,雅克列夫设计局,双发,飞行器,战斗机,苏/俄,NULL,11000千克,11.64米,1890千米每小时,雅克-28战斗机,{'$oid': '5cc930a9831b973d657f1005'},1958年3月5日,NULL,NULL,3.95米,NULL,18600千克,后掠翼,20.65米
亚音速,NULL,NULL,1人,"
旧日本陆军X系列秘密战机，由Ki102发展而来，1945年3月首机完成，是高空截击机，安装了当时日本最好的航空电子设备，发动机有涡轮增压器，实用升限比Ki102有提高，高空飞行速度也超过了Ki102，这种飞机对B29的威胁很大，可以从任意方向截击B29，不过制造复杂而且出现太晚，战争结束前只制造完成4架，只有1架投入了实战。
",2200千米,标称1350马力 三菱HA112-2复列星型气冷14缸发动机,NULL,双发,飞行器,战斗机,日本,NULL,5200千克,NULL,600千米每小时,Ki-108试作高高度战斗机,{'$oid': '5cc930a9831b973d657f1006'},NULL,NULL,NULL,NULL,NULL,7600千克,平直翼,NULL
亚音速,http://images.huanqiu.com/sarons/2014/01/4d5fc2267ea16fd26a91098be6da6e5d.jpg,三菱重工,2人,"
1944年5月首架极光试飞成功，当中发现极光和其前身银河相比在速度，爬升率和航程都有所下降，但作为一架夜间战斗机还是可容许的范围，故于同年投产使用。
",1815千米,2具三菱重工制火星25型风冷式发动机(1850匹马力),NULL,单发,飞行器,战斗机,日本,NULL,7138千克,20米,540千米每小时,P1Y2-S/极光夜间战斗机,{'$oid': '5cc930a9831b973d657f1007'},1944年5月,NULL,NULL,4.3米,NULL,13500千克,平直翼,15米
亚音速,http://images.huanqiu.com/sarons/2014/01/b5e203b0ceedbfc52accdfd0b4bf5774.jpg,Fairey航空公司,2人,NULL,1255千米,一台 1300 马力 Rolls-Royce Merlin 30 发动机,NULL,单发,飞行器,战斗机,英国,1945年2月8日,3182千克,14.14米,448千米每小时,“管鼻燕”式舰载战斗机,{'$oid': '5cc930a9831b973d657f1008'},1937年1月13日,NULL,NULL,3.25米,1940年6月,NULL,平直翼,12.24米
亚音速,http://images.huanqiu.com/sarons/2014/01/14994b9f470b619e7a890aff88a7fabc.jpg,NULL,1人,"
雅克-15战斗机雅克-15是前苏联雅克福列夫设计局研制的亚音速单座喷气式战斗机，也是前苏联的第一款喷气式战斗机，于1946年首次试飞，共生产了280架，几乎全用作当教练机来使飞行员适应喷气式战斗机。
",600千米,1 台PД-10型喷气式发动机 （ 推力8.82千牛）,雅克局,单发,飞行器,战斗机,苏/俄,NULL,1852千克,9.2米,786千米每小时,雅克-15战斗机,{'$oid': '5cc930aa831b973d657f1009'},1946年4月24日,NULL,NULL,2.2米,NULL,2634千克,平直翼,8.7米
亚音速,NULL,川崎公司,1人,"
旧日本陆军X系列秘密战机，这种战斗袭击机是在Ki96的基础上发展出来的，原本是为陆军研制双发重型高空截击机，后来发展成可执行高空截击与反战车袭击双重任务的战斗袭击机.。
",2000千米,标称1350马力 三菱4式（HA112-2）复列星型气冷14缸发动机,NULL,双发,飞行器,战斗机,日本,NULL,4950千克,NULL,580千米每小时,Ki-102/四式战斗袭击机,{'$oid': '5cc930aa831b973d657f100a'},NULL,NULL,NULL,NULL,NULL,7300千克,平直翼,NULL
亚音速,NULL,NULL,NULL,"
1937年日本开始对中国实施跨海轰炸。而随着战线扩大，航程仅有1,200公里的九六式舰上战斗机逐渐无法胜任护航的任务，面对中国空军的激烈抵抗，九六式陆上攻击机受到相当大的损害。于是相对于委托三菱开发的十二试陆上攻击机（即之后的一式陆上攻击机），1938年时委托中岛飞机公司开发十三试双发陆上战斗机。中岛飞机公司任命曾经担任九七式舰上攻击机开发主任一职的中村胜治工程师（之后因病与大野和男工程师交接）筹组团队，进行开发。
",NULL,NULL,中岛飞机公司,双发,飞行器,战斗机,日本,NULL,NULL,NULL,NULL,13试双发陆上战斗机,{'$oid': '5cc930aa831b973d657f100b'},1941年5月2日,NULL,NULL,NULL,NULL,NULL,平直翼,NULL
亚音速,http://images.huanqiu.com/sarons/2014/01/30fa8454b504861c6024f4c844e63759.jpg,钱斯沃特公司,1人,NULL,1617千米,帕拉特-惠特尼双黄蜂发动机18缸星型发动机,NULL,单发,飞行器,战斗机,美国,NULL,4175.3千克,12.5米,718千米每小时,F4U 海盗式战斗机,{'$oid': '5cc930aa831b973d657f100c'},1939年5月29日,NULL,NULL,4.9米,1942年9月,6654.2千克,平直翼,10.3米
亚音速,http://images.huanqiu.com/sarons/2014/01/d5a6d15242353cc5ceaf33b02618f619.jpg,NULL,1人,NULL,1830千米,劳斯莱斯梅林(灰背隼) 66,英国维克斯-超级马林公司,单发,飞行器,战斗机,英国,NULL,2540千克,11.2米,652千米每小时,喷火战斗机（Spitfire）,{'$oid': '5cc930aa831b973d657f100d'},1936年3月5日,NULL,NULL,3.9米,1938年8月,3266千克,平直翼,9.1米
亚音速,http://images.huanqiu.com/sarons/2014/01/0bc588444da29cc4b8061c8572f1cb5c.jpg,NULL,1人,NULL,1237千米,两台劳斯莱斯Avon涡轮发动机,超级马林飞机公司,双发,飞行器,战斗机,英国,NULL,10869千克,11.33米,1185千米每小时,弯刀战斗机（Scimitar）,{'$oid': '5cc930ab831b973d657f100e'},1956年1月19日,NULL,NULL,5.28米,1957年,15513千克,后掠翼,16.84米
亚音速,http://images.huanqiu.com/sarons/2014/01/467713b1d42dffe83bdd056ebad68dc7.jpg,Gloster飞机公司,1人,NULL,1610千米, Rolls-Royec Derwent8涡轮喷气发动机,NULL,双发,飞行器,战斗机,英国,NULL,NULL,13.1米,668千米每小时,Gloster Meteor“流星”战斗机,{'$oid': '5cc930ab831b973d657f100f'},1941年5月15日,NULL,NULL,3.96米,NULL,6257千克,平直翼,12.6米
亚音速,http://images.huanqiu.com/sarons/2014/01/65de5f30f807bc9fd7bdba06b064db5e.jpg,雅科夫列夫设计局,1人,NULL,2100千米,R-79(推进/升举)×1+RD-41(升举)×2,NULL,双发,飞行器,战斗机,苏/俄,NULL,11650千克,10.1米,1800千米每小时,雅克-141战斗机,{'$oid': '5cc930ab831b973d657f1010'},1987年,NULL,NULL,5米,NULL,19500千克,后掠翼,18.3米
