名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,退役时间,关注度,最大航程,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,乘员,机长,最大起飞重量
Learjet 55双发涡扇中型公务机,飞行器,871千米每小时,13.35米,2 × Garrett TFE731-3A-2B,1979年11月15日,双发,NULL,NULL,4010千米,{'$oid': '5cc93136831b973d657f1337'},NULL,http://images.huanqiu.com/sarons/2014/01/6d30764d4600a94a2a2f24aa99234e02.jpg,4.45米,5502千克,1981年4月30日,美国,亚音速,通用飞机,,利尔喷气机公司,后掠翼,11人,17.9米,8845千克
“指挥官”112/114单发活塞式轻型旅行飞机,飞行器,290千米每小时,10.85米,1台Lycoming IO-540-T4B5D，194 kW,1970年12月4日,单发,1979年,NULL,1350千米,{'$oid': '5cc93137831b973d657f1338'},NULL,,2.57米,939千克,1972年8月,美国,亚音速,通用飞机,,罗克韦尔公司,平直翼,4人,7.63米,1475千克
Socata MS“拉力俱乐部”/“海军准将” 单发活塞式轻型旅行和教练飞机,飞行器,240千米每小时,9.74米,1×莱康明O-360-A3A活塞发动机，134千瓦（180马力）,1959年6月10日,单发,NULL,NULL,1300千米,{'$oid': '5cc93137831b973d657f1339'},NULL,,2.8米,570千克,1961年年末,法国,亚音速,通用飞机,,Moraine Saulnier,平直翼,4人,7.24米,1050千克
Learjet45双发涡扇中型公务机,飞行器,858千米每小时,14.58米,霍尼韦尔TFE731涡轮风扇发动机,1995年10月7日,双发,NULL,NULL,3167千米,{'$oid': '5cc93137831b973d657f133a'},NULL,http://images.huanqiu.com/sarons/2014/01/ee9864a0d5ebc9116cf282441a0a48fb.jpg,4.3米,5829千克,1998年7月28日,美国,亚音速,通用飞机,,利尔喷气机公司,NULL,11人,17.68米,9163千克
Piper PA-34“塞内卡人” 双发活塞式轻型飞机,飞行器,358千米每小时,11.86米,2×TSIO-360RB， LTSIO-360RB水平对置活塞发动机,1969年10月,双发,NULL,NULL,1529千米,{'$oid': '5cc93137831b973d657f133b'},美国派珀（Piper）飞机公司,http://images.huanqiu.com/sarons/2014/01/3ccb48ab993b96d907a752d9af205340.jpg,3.02米,1457千克,NULL,美国,亚音速,通用飞机,"
PA-34“塞内卡人”是“切诺基·六”的双发发展机型。“塞内卡人”的可靠机型于1969年10月首飞，生产型于1971年9月23日开始交付使用，最后的机型目前仍在服役。该机型还授权波兰PZL-Mielec公司制造，名为M-20 Meva。还授权巴西制造，名为EMB-810。PA-34共计交付超过4700架。
",NULL,平直翼,6人,8.72米,2155千克
Piper PA-28R“切诺基·箭” 单发活塞式轻型旅行飞机,飞行器,268千米每小时,9.2米,1×莱康明O-320-E2A150马力（113千瓦）,1967年2月1日,单发,NULL,NULL,1630千米,{'$oid': '5cc93137831b973d657f133c'},NULL,http://images.huanqiu.com/sarons/2014/01/f9a40904bdcdeab3a986fb826b27db41.jpg,2.25米,544千克,NULL,美国,亚音速,通用飞机,"
PA-28R“切诺基·箭”飞机由“切诺基·射手”II发展而来，但“切诺基·箭”装载功率更大的发动机、收放起落架和非梯形机翼。“切诺基·箭”于1967年2月1日首飞，总交付量超过7000架。
",NULL,平直翼,4人,7.16米,975千克
SlAl-马歇蒂S.205/S.208 单发活塞式轻型旅行飞机,飞行器,280千米每小时,10.86米,1× Avco Lycoming IO-360-A1A活塞发动机,1965年,单发,NULL,NULL,1500千米,{'$oid': '5cc93137831b973d657f133d'},NULL,,2.89米,740千克,1968年,意大利,亚音速,通用飞机,,NULL,平直翼,4人,8米,1250千克
Learjet 35双发涡扇特殊用途飞机,飞行器,870千米每小时,12米,盖瑞特TFE731涡轮风扇发动机,1973年1月4日,双发,NULL,NULL,4239千米,{'$oid': '5cc93138831b973d657f133e'},NULL,http://images.huanqiu.com/sarons/2014/01/d637d63b34f35384d29d8c456b9c11ff.jpg,3.7米,4152千克,1974年夏季,美国,亚音速,通用飞机,,美国盖茨·利尔喷气公司,平直翼,10人,14.8米,8301千克
SocataTB“坦皮科”/“多巴哥”/“特立尼达”单发活塞式轻型旅行飞机,飞行器,241千米每小时,9.76米,1×莱康明O-360-A1AD 4缸水平对置风冷活塞式发动机，134千瓦（180马力）,1977年2月23日,单发,NULL,NULL,1180千米,{'$oid': '5cc93138831b973d657f133f'},NULL,http://images.huanqiu.com/sarons/2014/01/128bad790d6fb09931d62688ae27bba5.jpg,3.2米,670千克,1979年9月份,法国,亚音速,通用飞机,,索卡塔(SOCATA)南方飞机公司,平直翼,5人,7.63米,1150千克
 Socata GY“地平线”/ST“专科医生”,飞行器,234千米每小时,9.7米,莱康明O-320-B2B活塞发动机,1967年11月7日,单发,NULL,NULL,953千米,{'$oid': '5cc93138831b973d657f1340'},NULL,,2.6米,620千克,NULL,法国,亚音速,通用飞机,,法国南方飞机公司,平直翼,4人,6.6米,1100千克
Piper PA-46 “马利布·幻影”双发轻型公务机,飞行器,485千米每小时,13.1米,大陆公司或莱卡明公司的活塞发动机或者普-惠公司的三桨叶式涡轮螺旋桨发动机,1998年8月21日,单发,NULL,NULL,1981千米,{'$oid': '5cc93138831b973d657f1341'},NULL,http://images.huanqiu.com/sarons/2014/01/5925f8bfd211dcc5a2c5ddfbbb86e4d8.jpg,3.5米,1066千克,2000年年中,美国,亚音速,通用飞机,,Piper飞机公司,平直翼,7人,9米,1860千克
Piper PA-3 1T“夏安人”双发活塞式公务机,飞行器,437千米每小时,12.5米,普-惠公司PT6A涡轮螺旋桨发动机,1969年10月22日,单发,NULL,NULL,2592千米,{'$oid': '5cc93139831b973d657f1342'},NULL,http://images.huanqiu.com/sarons/2014/01/690838e65e5eafe4166b1d9ccc39da06.jpg,4米,2209千克,NULL,美国,亚音速,通用飞机,,Piper飞机公司,平直翼,10人,11.2米,4082千克
莱特L-200“摩拉瓦河”双发活塞式轻型旅行飞机/公务机,飞行器,290千米每小时,12.3米,2 × Walter M337单台210 hp (154 kW),1957年4月8日,双发,NULL,NULL,1710千米,{'$oid': '5cc93139831b973d657f1343'},莱特,http://images.huanqiu.com/sarons/2014/01/e9e354e249093943818c5e75691f22a2.jpg,2.3米,1330千克,NULL,捷克,亚音速,通用飞机,"
L-200是拉弟斯拉夫·斯默塞克设计的全金属飞机，1957年4月8日首飞。L-200的特点包括优美的造型、双尾翼、收放起落架和翼尖油箱。该机型同时在捷克的国家飞机工厂和南斯拉夫的LIBIs进行生产。总交付量超过1000架。
",NULL,平直翼,5人,8.6米,1950千克
Piper PA-42“夏安人”Ⅲ双发涡桨公务机,飞行器,455千米每小时,14.5米,普-惠PT6A或盖瑞特TPE331涡轮螺旋桨发动机,1979年5月18日,双发,NULL,NULL,2592千米,{'$oid': '5cc93139831b973d657f1344'},NULL,http://images.huanqiu.com/sarons/2014/01/497707bc65d00adfe6749b5f3bb7d424.jpg,5米,3101千克,1980年6月30日,美国,亚音速,通用飞机,,派珀飞机公司,平直翼,8人,13.2米,5080千克
Piper PA-28“切诺基”(单发活塞式轻型旅行飞机,飞行器,230千米每小时,9.2米,1 × Lycoming O-320-E2A,1960年1月14日,单发,NULL,NULL,867千米,{'$oid': '5cc93139831b973d657f1345'},NULL,http://images.huanqiu.com/sarons/2014/01/d2a4fb698870468436f00ea9e2c5dcf3.jpg,2.25米,544千克,NULL,美国,亚音速,通用飞机,"
PA-28“切诺基”是PA-22系列飞机的替代机型，下单翼、金属结构，于1960年1月14日首飞，后来出现了大量的改型，分别装载更大功率的发动机并作了性能改进。PA-28“切诺基”自1961年开始交付使用以来，共交付了超过30000架。
",美国派珀（Piper）飞机公司,平直翼,4人,7.16米,975千克
Mooney M.20J/S快板/加演/喝彩/鹰/大喝彩单发活塞式轻型旅行飞机,飞行器,448千米每小时,11.1米,1×Continental TSIO-550-G,1976年9月,单发,NULL,NULL,2676千米,{'$oid': '5cc93139831b973d657f1346'},NULL,http://images.huanqiu.com/sarons/2014/01/48c0e8e97e25d37673524dc05bd41073.jpg,2.5米,1074千克,NULL,美国,亚音速,通用飞机,"
    M.2 0J/S是一种改进的Mooney飞机，1973年末Mooney被共和钢铁公司收购后投产。一种具有更流线的外形、新型挡风玻璃和圆形机窗的新机型于1976年出现之前，生产的3个机型分别为“突击队员”、“丛林”和“行政”。（图为M20J）
",NULL,平直翼,4人,8.15米,1528千克
Piper PA-23“阿帕奇”/“阿兹特克”双发活塞式轻型飞机,飞行器,346千米每小时,11.34米,2×Lycoming IO-540-C4B5,1952年3月2日,双发,NULL,NULL,2445千米,{'$oid': '5cc93139831b973d657f1347'},NULL,http://images.huanqiu.com/sarons/2014/01/6e551d90228cb36929e8a15e5925f53d.jpg,3.15米,1442千克,NULL,美国,亚音速,通用飞机,"
在史丁森设计的四座轻型双发飞机的基础上，PA-23“阿帕奇”这种带收放起落架的全金属单翼飞机于1952年3月2日首次飞上蓝天，1954年3月开始投产。
",派珀飞机公司,平直翼,6人,9.52米,2360千克
Mooney M.20A/G“突击队员”/“丛林”/“行政”/“大师”/“政治家”单发活塞式轻型旅行飞机,飞行器,448千米每小时,11.1米,1 × Continental TSIO-550-G,1953年8月10日,单发,NULL,NULL,1445千米,{'$oid': '5cc9313a831b973d657f1348'},穆尼飞机公司,http://images.huanqiu.com/sarons/2014/01/adee7910dc600e14ee7b5bc091d2a4b8.jpg,2.5米,1074千克,NULL,美国,NULL,通用飞机,"
M.20是基于Al Mooney设计的单座飞机而改进的高性能四座机型，其特征是具有前掠式尾翼。M.20于1953年8月10日首飞，1955年投产。M.20生产了几个改型，20世纪70年代初期被称为“航星”，当时被航星飞机公司收购。M.20于1972年停产。该机型共有6235架飞机交付使用。（图为M20AG）
",NULL,平直翼,4人,8.15米,1528千克
Piper PA-31“纳瓦霍人”双发活塞式公务机,飞行器,438千米每小时,12.4米,莱卡明TIO-540-A活塞发动机,1964年9月30 日,双发,NULL,NULL,1165千米,{'$oid': '5cc9313a831b973d657f1349'},NULL,http://images.huanqiu.com/sarons/2014/01/39e626feaeee6b60cf3d8c7f42bc61af.jpg,4米,1782千克,NULL,美国,亚音速,通用飞机,,派珀飞机公司,平直翼,10人,10.6米,2948千克
Lancair/哥伦比亚飞机公司 哥伦比亚单发活塞式轻型旅行飞机和教练机,飞行器,435千米每小时,11米,1 × Teledyne Continental Motors (TCM) IO-550-N,1996年7月,单发,NULL,NULL,2435千米,{'$oid': '5cc9313a831b973d657f134a'},NULL,http://images.huanqiu.com/sarons/2014/01/04649704f878b8032e8a6178625f82d7.jpg,2.7米,1000千克,2000年2月24日,美国,亚音速,通用飞机,"
哥伦比亚飞机是Lancair公司（现哥伦比亚飞机公司)在1996年发布的机型，时名Lc-40。哥伦比亚是下单翼飞机，1996年7月首飞，1997年8月在oshkosh首次公开亮相，2000年2月24日交付第一架生产型飞机。一共有366架哥伦比亚飞机交付使用。
",NULL,NULL,4人,7.7米,1500千克
PA-24“科曼奇”单发活塞式轻型飞机,飞行器,293千米每小时,11米,1×Lycoming IO-540260 hp (194 kW),1956年5月24,单发,NULL,NULL,1783千米,{'$oid': '5cc9313a831b973d657f134b'},NULL,http://images.huanqiu.com/sarons/2014/01/bc02560e249b02a0e6e5b7b4ec245012.jpg,2.3米,804千克,1957年,美国,亚音速,通用飞机,"
PA-24“科曼奇”是一种高性能全金属飞机，具有收放起落架、后掠式垂直尾翼以及层流机翼。该机型于1956年5月24日首飞，1957年末开始交付使用。PA-24飞机共计交付了4856架。
",NULL,后掠翼,4人,7.7米,1451千克
Maule M-4/M-77M9“火箭”/“彗星“/“猎户座”单发活塞式轻型短距起降飞机,飞行器,241千米每小时,10.3米,Continental O-300A六缸活塞发动机,1960年9月8日,单发,NULL,NULL,1537千米,{'$oid': '5cc9313a831b973d657f134c'},NULL,http://images.huanqiu.com/sarons/2014/01/4dab7e2ecaf5157691497af1ee0321eb.jpg,1.9米,500千克,NULL,美国,亚音速,通用飞机,"
M-4最初是按套材组装飞机设计的，1960年9月8日首飞。M-4机型派生出了众多的能够在崎岖不平的跑道上短距起降的上单翼尾轮式飞机，这些飞机目前仍在产。M-4及其派生机型总共有超过2450架交付使用。
",NULL,平直翼,5人,7.2米,953千克
AA-5“旅行者”/“印度豹”/“虎”单发活塞式轻型旅行飞机,飞行器,265千米每小时,9.6米,一台Lycoming O-320-E2G ,1970年8月21日,单发,NULL,NULL,1018千米,{'$oid': '5cc9313b831b973d657f134d'},NULL,http://images.huanqiu.com/sarons/2014/01/f81b2324294de5cf5abc9cac2371a2d4.jpg,2.4米,545千克,1971年12月,美国,亚音速,通用飞机,"
格鲁曼美国AA-5是美航公司(AmericanAViation)两座级AA-1飞机的四座级发展机型，与AA-1有大约60％的共同之处。AA-5飞机于1970年8月21日首飞，1971年12月开始交付使用。该机型交付了超过3225架。
",NULL,平直翼,4人,6.7米,998千克
比奇23Musketeer单发活塞式轻型飞机,飞行器,228千米每小时,10米,大陆或莱卡明活塞发动机,1961年10月23日,单发,NULL,NULL,1187千米,{'$oid': '5cc9313b831b973d657f134e'},NULL,http://images.huanqiu.com/sarons/2014/01/e78cb37a5e2ee0815f92b2f8dd2c63fa.jpg,2.5米,624千克,NULL,美国,亚音速,通用飞机,,比奇飞机公司,平直翼,4人,7.9米,1089千克
GA-7“美洲狮”双发活塞式轻型旅行飞机,飞行器,296千米每小时,11.2米, 2 × Lycoming O-320-D1D发动机,1974年12月20日,单发,NULL,NULL,2165千米,{'$oid': '5cc9313b831b973d657f134f'},美国格鲁曼公司，湾流宇航公司,http://images.huanqiu.com/sarons/2014/01/1c31c21ef9a342d21d439e69aca0ff7e.jpg,3.2米,1165千克,NULL,美国,亚音速,通用飞机,"
GA-7“美洲狮”是美国格鲁曼公司设计的机型，1974年12月20日首飞。随后几年里作了很多设计改变，包括更换座舱罩和在机身两侧各增加第3个机窗。1978年2月开始交付使用，在此之前，格鲁曼的轻型飞机部门已经被湾流公司收购。GA-7的生产运营时间很短暂，因为湾流公司在第2年就决定退出轻型飞机制造领域。该机型一共有115架交付使用。
",NULL,平直翼,4人,9.1米,1721千克
钻石DA42“双子星”轻型旅行飞机/通用飞机,飞行器,376千米每小时,13.2米,双发Thielert Centurion.1.7发动机,2002年12月9日,双发,NULL,NULL,1965千米,{'$oid': '5cc9313b831b973d657f1350'},NULL,http://images.huanqiu.com/sarons/2014/01/beb94273508f5086c044a335d641e10f.jpg,2.6米,1251千克,2005年3月24日,奥地利,亚音速,通用飞机,"
DA42“双子星”是DA40“钻石之星”的双发版。钻石公司在2001年11月份作出制造DA42飞机的决定，2002年5月7日收到汉莎培训学校40架飞机的订购意向书即正式启动。DA42原型机于2002年12月9日首飞，2005年3月24日交付第一批飞机。DA42飞机共计交付了125架。
",NULL,平直翼,4人,8.5米,1700千克
富士FA-200“航空斯巴鲁”单发活塞式轻型旅行飞机,飞行器,237千米每小时,9.42米,1 × Avco Lycoming IO-360,1965年8月12日,单发,NULL,NULL,1400千米,{'$oid': '5cc9313b831b973d657f1351'},NULL,http://images.huanqiu.com/sarons/2014/01/60cf5b11b01adfda803c32e7389d1b3e.jpg,2.59米,650千克,1966年,日本,亚音速,通用飞机,"
FA-200是第一种进入连续生产的日本本土轻型飞机。该飞机是一个常规的下单翼机型，1964年开始设计，1965年8月12日首飞，一年后开始交付使用。FA-200的总交付量为299架。
",NULL,平直翼,4人,8.17米,1150千克
Lake LA-4“海盗”/“背叛者”/“海狼”/“海怒” 单发活塞式轻型水陆两用飞机,飞行器,241千米每小时,11.58米,1 × Avco Lycoming IO-360-B1A,1959年11月,单发,NULL,NULL,825千米,{'$oid': '5cc9313c831b973d657f1352'},Lake公司,http://images.huanqiu.com/sarons/2014/01/d1cf6ca050ebb68ecd3a02ddc8e66d8d.jpg,2.84米,705千克,NULL,美国,亚音速,通用飞机,"
Lake公司LA-4是Colonial公司C-2Skimmer IV飞机的发展机型，具有更大的翼展、加固的结构和更高的机身。LA-4于1959年11月首飞，1960年8月投产。LA-4飞机有几个改进型变体，同时面向民用和军用市场。共有超过1100架LA-4飞机交付使用。
",NULL,平直翼,4人,8.59米,NULL
伊尔-103单发活塞式四座轻型飞机,飞行器,220千米每小时,7.75米,1 × Continental IO-360ES,1994年5月17日,单发,NULL,NULL,800千米,{'$oid': '5cc9313c831b973d657f1353'},伊留申设计局,http://images.huanqiu.com/sarons/2014/01/71fbc7fb48d84bcc12c5ae81aad253a9.jpg,3.135米,900千克,NULL,苏/俄,亚音速,通用飞机,"
伊尔-103飞机于1990年在莫斯科展出了模型，1994年5月17日完成首飞，但直到1997年12月4日才获得俄罗斯颁发的型号合格证，一年后获得美国联邦航空条例第23部合格证。在本地的交付使用应该始于1998年。交付量超过50架。
",NULL,平直翼,5人,8米,1310千克
Extra EA-400/EA-S00单发活塞式轻型旅行飞机/公务机,飞行器,435千米每小时,11.7米,1 × Rolls-Royce Model 250-B17F/2 ,2002年4月26日,单发,NULL,NULL,2963千米,{'$oid': '5cc9313c831b973d657f1354'},Extra飞机公司,http://images.huanqiu.com/sarons/2014/01/e64380a1c72923eba756434cff49df77.jpg,3.4米,1420千克,NULL,德国,亚音速,通用飞机,"
EA-400是1993年2月发布的机型，由Extra飞机公司与荷兰代尔夫特大学联合设计，采用上单翼，复合材料，具有高性能。EA-400于1996年4月4日首飞，1998年8月21日开始交付使用。EA-500涡轮螺旋桨飞机于2002年4月26日首飞。EA-400和EA-500共计交付了28架。
",NULL,平直翼,6人,10.1米,2310千克
Piper（泰德·史密斯）600 Aerostar双发活塞式轻型公务机,飞行器,492千米每小时,11.2米,莱卡明IO一540活塞发动机,1967年12月20日,NULL,NULL,NULL,1648千米,{'$oid': '5cc9313c831b973d657f1355'},Piper飞机公司,http://images.huanqiu.com/sarons/2014/01/e4f62b5409bb8f239fcb752f4f4998b1.jpg,3.7米,2112千克,NULL,美国,亚音速,通用飞机,,NULL,前掠翼,6人,10.6米,2864千克
罗克韦尔“佩刀客机”双发行政专机,飞行器,885千米每小时,13.56米,2 × Pratt & Whitney J60-P-3,1958年9月16日,双发,NULL,NULL,4020千米,{'$oid': '5cc9313c831b973d657f1356'},NULL,http://images.huanqiu.com/sarons/2014/01/85ab8b0b5346e00f2f1bfed29e1fd380.jpg,4.88米,4199千克,NULL,美国,亚音速,通用飞机,,北美航空工业公司,后掠翼,12人,13.41米,8056千克
Sino Swearingen SJ30 双发涡扇轻型公务机,飞行器,849千米每小时,12.9米,威廉姆斯FJ44涡轮风扇发动机,1991年2月13日,双发,NULL,NULL,4630千米,{'$oid': '5cc9313d831b973d657f1357'},NULL,http://images.huanqiu.com/sarons/2014/01/18919c923c7771486a8f5412147b6397.jpg,4.3米,3493千克,2007年2月,美国,亚音速,通用飞机,,Swearingen公司,平直翼,8人,14.3米,6123千克
AB95单发活塞式轻型飞机,飞行器,205千米每小时,10.42米,1 ×大陆（Continental ）C90-8F,1959年3月12日,单发,NULL,NULL,959千米,{'$oid': '5cc9313d831b973d657f1358'},NULL,http://images.huanqiu.com/sarons/2014/01/dc1dec3f4c1dcd1d6d6afe3f4c813b27.jpg,2.19米,422千克,1961年,阿根廷,亚音速,通用飞机,,Aero Boero公司,平直翼,4人,6.9米,700千克
比奇V35“富源”单发活塞式轻型飞机,飞行器,338千米每小时,10.12米,大陆公司活塞发动机,1945年12月22日,单发,NULL,NULL,1553千米,{'$oid': '5cc9313d831b973d657f1359'},NULL,http://images.huanqiu.com/sarons/2014/01/7627aa5202f576639a783dcde4da4d66.jpg,2.3米,NULL,NULL,美国,亚音速,通用飞机,,比奇飞机公司,平直翼,5人,8.1米,NULL
比奇T36“涡轮富源单发活塞式轻型飞机,飞行器,394千米每小时,11.5米,大陆活塞发动机,1968年1月4日,单发,NULL,NULL,1893千米,{'$oid': '5cc9313d831b973d657f135a'},NULL,http://images.huanqiu.com/sarons/2014/01/0abbec6e902a62146aeef62acd7915bb.jpg,2.6米,NULL,NULL,美国,亚音速,通用飞机,,比奇飞机公司,平直翼,6人,8.4米,NULL
比奇60“公爵”双发活塞式轻型旅行飞机,飞行器,433千米每小时,12米,莱卡明活塞发动机,1965年12月29日,双发,NULL,NULL,1887千米,{'$oid': '5cc9313d831b973d657f135b'},NULL,http://images.huanqiu.com/sarons/2014/01/58b1f9d483666d6d1f62f21db8b747e1.jpg,3.8米,NULL,1968年7月,美国,亚音速,通用飞机,,比奇飞机公司,平直翼,15人,10.3米,NULL
比奇33Debonair“富源”单发活塞式轻型飞机,飞行器,338千米每小时,10.2米,大陆公司活塞发动机,1959年9月14日,NULL,NULL,NULL,1553千米,{'$oid': '5cc9313e831b973d657f135c'},NULL,http://images.huanqiu.com/sarons/2014/01/7a2fcffb508af29794d8c7d0c7d04593.jpg,2.5米,785千克,NULL,美国,亚音速,通用飞机,,比奇飞机公司,平直翼,5人,8.1米,1360千克
塞斯纳310/320“高空骑士”双发活塞式轻型飞机,飞行器,357千米每小时,11.3米,2×大陆o-470-b水平对置活塞发动机,1953年1月3日,双发,NULL,NULL,1250千米,{'$oid': '5cc9313e831b973d657f135d'},NULL,http://images.huanqiu.com/sarons/2014/01/f1586c0e242a43b58a6a383ae42fb3d6.jpg,3米,1293千克,NULL,美国,亚音速,通用飞机,"
塞斯纳310是第二次世界大战结束后的第一个双发塞斯纳机型，该机型采用翼尖油箱，并用发动机尾气来增加推力。310型于1953年1月3日首飞，1954年投产，之后的320“高空骑士”比310型体积更大，装载涡轮增压发动机。塞斯纳310/320共计交付了5438架，其中包括320型575架。
",NULL,平直翼,6人,9米,2087千克
西锐SR20/SR22单发活塞式轻型个人飞机/公务机,飞行器,296千米每小时,10.8米,1×大陆io360-es发动机,1995年3月31日,双发,NULL,NULL,1481千米,{'$oid': '5cc9313e831b973d657f135e'},NULL,http://images.huanqiu.com/sarons/2014/01/f47e3e5a6f8af9bd701703f0cc33863d.jpg,2.8米,965千克,1999年3月22日,美国,亚音速,通用飞机,"
西锐（cirrus Design)公司SR20/SR22是一种下单翼复合材料飞机，1990年开始研制，其模型于1994年在威斯康辛州的oshkosh亮相，1995年3月31日首飞，但直到1999年3月22日才开始交付使用。SR20交付了601架，SR22交付了1705架。
",NULL,平直翼,4人,7.9米,1365千克
塞斯纳336“高空霸主”/337“超级高空霸主”双发活塞式轻型企业飞机/通用飞机,飞行器,380千米每小时,11.6米,推挽式发动机,1961年2月18日,单发,NULL,NULL,2422千米,{'$oid': '5cc9313e831b973d657f135f'},塞斯纳飞行器公司,http://images.huanqiu.com/sarons/2014/01/1a4a65953f6158e8d674b971bfd29c2c.jpg,2.8米,1264千克,1963年,美国,亚音速,通用飞机,"
塞斯纳336“高空霸主”是塞斯纳飞机家族的一个重要叛逆者，采用推挽式发动机配置，以消除一台发动机停车情况下的不对称操纵特性，该机型还采用了双尾桁尾翼布局。336“高空霸主”于1961年2月18日首飞，1963年中期开始服役，但很快就被改进了的337“超级高空霸主”所取代。交付使用量如下：336型交付195架，337型交付2798架。
",NULL,平直翼,6人,9.1米,2100千克
钻石DA40“钻石之星” 涡轮增压柴油发动机四座轻型旅行飞机/通用飞机,飞行器,285千米每小时,11.9米,1×莱康明IO-360-M1A4缸活塞发动机，180马力（134千瓦）,1997年11月5日,单发,NULL,NULL,1390千米,{'$oid': '5cc9313e831b973d657f1360'},奥地利钻石飞机制造有限公司,http://images.huanqiu.com/sarons/2014/01/d991a41e16cc0184521534b040915913.jpg,2米,795千克,NULL,加拿大,亚音速,通用飞机,"
钻石公司DA40“钻石之星”为DA20-c1的四座发展机型，1997年4月23日在德国菲德烈斯哈芬的Aero 97航空展览会上发布，初名Katana。DA40的概念验证原型机于1997年11月5日首飞，2000年10月25日获得联合航空条例（JAR)型号合格证，首批飞机在2001年7月的EAA Air-Venmre展览会期间交付给美国客户。2001年11月22日，涡轮增压柴油发动机原型机首飞。DA40“钻石之星”共有554架交付使用。
",NULL,平直翼,4人,8米,1198千克
贝兰卡17“北欧海盗”单发活塞式轻型旅行飞机,飞行器,335千米每小时,10.4米,单台大陆或莱卡明发动机,NULL,单发,NULL,NULL,1722千米,{'$oid': '5cc9313e831b973d657f1361'},NULL,http://images.huanqiu.com/sarons/2014/01/0fdf2291e528bd5ed58efc7557383d5d.jpg,2.2米,NULL,1967年,美国,亚音速,通用飞机,,贝兰卡飞机工程公司,平直翼,4人,8米,NULL
比奇76“公爵夫人”双发活塞式轻型飞机,飞行器,308千米每小时,11.6米,NULL,1977年5月24日,单发,NULL,NULL,1317千米,{'$oid': '5cc9313f831b973d657f1362'},NULL,http://images.huanqiu.com/sarons/2014/01/0510eeb246958c53648cd370320b24ea.jpg,2.9米,NULL,1978年5月,美国,亚音速,通用飞机,,比奇飞机公司,平直翼,4人,8.9米,NULL
比奇55“男爵”双发活塞式轻型飞机,飞行器,376千米每小时,11.5米,莱卡明或大陆活塞发动机,1960年2月29日,单发,NULL,NULL,1593千米,{'$oid': '5cc9313f831b973d657f1363'},NULL,http://images.huanqiu.com/sarons/2014/01/c86178b672f2bc76e5e8e4a045ea23a8.jpg,3米,NULL,NULL,美国,亚音速,通用飞机,,比奇飞机公司,平直翼,6人,9.1米,NULL
塞斯纳335/340双发活塞式企业飞机,飞行器,425千米每小时,11.62米,2×大陆tsio-520-nb 6缸活塞式发动机,1970年,双发,NULL,NULL,2049千米,{'$oid': '5cc9313f831b973d657f1364'},NULL,http://images.huanqiu.com/sarons/2014/01/9fb98ed5543f977275aa25ab4f095610.jpg,3.84米,1780千克,1971年12月8日,美国,亚音速,通用飞机,"
塞斯纳340采用加压机舱、收放式起落架、翼尖油箱、涡轮增压发动机和左后舱门。该机型于1969年开始研制，1971年12月8日开始服役。交付使用量如下：335型交付64架，340型交付1287架。（图为塞斯纳340）
",NULL,平直翼,6人,10.46米,2719千克
塞斯纳205“超级高空马车”单发活塞式轻型通用飞机,飞行器,272千米每小时,10.9米,大陆或莱卡明活塞发动机,NULL,单发,NULL,NULL,1259千米,{'$oid': '5cc9313f831b973d657f1365'},NULL,http://images.huanqiu.com/sarons/2014/01/cc7489fb7bdd0ae1d067d01753296020.jpg,2.8米,1022千克,1962年8月,美国,亚音速,通用飞机,,塞斯纳飞机公司,平直翼,6人,8.6米,1633千克
塞斯纳210“百夫长”单发活塞式轻型通用飞机,飞行器,357千米每小时,11.2米,1×大陆tsio-520-r风冷涡轮增压发动机,1957年1月,单发,NULL,NULL,1667千米,{'$oid': '5cc9313f831b973d657f1366'},赛斯纳飞行器公司,http://images.huanqiu.com/sarons/2014/01/7bdf0b59ff059da860ebaf80a7de2496.jpg,2.9米,1045千克,1959年末,美国,亚音速,通用飞机,"
210“百夫长”为第一个使用收放前三点式起落架的塞斯纳机型，但另一方面又沿用了一贯的斜撑杆式上单翼和后掠式垂直尾翼方案。塞斯纳210于1957年1月首飞，1959年末开始服役。该机型共有9240架飞机交付使用。
",NULL,平直翼,6人,8.6米,1814千克
US-1A/US-2(日本) 搜索救援水陆两用飞机,飞行器,511千米每小时,33.1米,4×罗尔斯·罗伊斯AE 2100J 涡轮螺旋桨发动机,1974年10月16日,四发,NULL,NULL,3817千米,{'$oid': '5cc93140831b973d657f1367'},新明和公司,http://images.huanqiu.com/sarons/2014/01/3bbc5e2b363b08042d5cb72329a09333.jpg,9.9米,25600千克,1975年,日本,亚音速,通用飞机,"
US-1A于1974年10月16日首飞，已向日本海上自卫队交付了17架，第一架交付于1975年。计划再交付4架。US-1A正在进行升级，包括安装新型任务系统和换装新型罗尔斯·罗伊斯涡轮螺旋桨发动机。US-2于2003年12月18日首飞，当时的名称是US-1Akai。图为US-1A。
",NULL,平直翼,29人,33.5米,47700千克
