名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,旋翼直径,退役时间,关注度,最大航程,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,乘员,机长,最大起飞重量,挂载点
雅克-12轻型通信机,飞行器,180千米每小时,12.6米,1台Ivchenko AI-14R，191kW,1947年,单发,NULL,NULL,NULL,765千米,{'$oid': '5cc9311e831b973d657f12ae'},NULL,http://images.huanqiu.com/sarons/2014/01/99e454e92e2186ed7f3ffe51149dbbc5.jpg,3.12米,1026千克,NULL,苏/俄,亚音速,运输机,"
雅克－12（Yak-12）活塞式轻型通信机是中华人民共和国从苏联进口的首批飞机中的活塞式轻型通信机，曾用代号“16号机”。这种单发上单翼飞机，生产使用成本低、起降性能好。除军队用作通信联络、救护外，还被用作农业机、民用轻型运输机。雅克－12有多种改型，直到50年代后期还在生产。波兰制造的称为PZL-101。
",雅克夫列夫设计局,平直翼,4人,9米,1450千克,NULL
安-70,飞行器,780千米每小时,44.06米,4×Progress D-27发动机，单台10350kW,1994年12月16日,双发,NULL,NULL,NULL,6600千米,{'$oid': '5cc9311e831b973d657f12af'},NULL,http://images.huanqiu.com/sarons/2014/01/2abb38c14191c802d1cc6e808c944a6b.jpg,16.38米,66230千克,NULL,苏/俄,亚音速,运输机,"
安-70运输机由安东诺夫设计局研制，与俄罗斯联邦共同开发。两国计划用这种飞机取代陈旧的An-12涡轮螺旋桨军用运输机（中国运-8原型）。目前安-70正在进行飞行试验，为批量生产作准备。其稳定性和可操纵性、新型发动机节油高能的特性均表现优越。
",安托诺夫设计局,后掠翼,5人,40.7米,14500千克,NULL
雅克-112,飞行器,230千米每小时,10.25米,莱康明io - 540 6-cyl水平反对气冷式活塞式发动机,1992年10月20日,单发,NULL,NULL,NULL,1000千米,{'$oid': '5cc9311e831b973d657f12b0'},俄罗斯/苏联公民通用飞机制造,http://images.huanqiu.com/sarons/2014/01/a3f1061f9e85e6691325a8fa64facf84.jpg,2.9米,950千克,NULL,苏/俄,亚音速,运输机,"
“雅克- 112”Filin(猫头鹰)是俄罗斯/苏联公民通用飞机制造商在1992年首飞。
",NULL,平直翼,1人,6.96米,1520千克,NULL
雅克-14,飞行器,300千米每小时,26.17米,NULL,1948年6月,NULL,NULL,NULL,NULL,NULL,{'$oid': '5cc9311f831b973d657f12b1'},NULL,http://images.huanqiu.com/sarons/2014/01/5821534e94cee86ea9ca3314a9a930b3.jpg,NULL,3082千克,NULL,苏/俄,亚音速,运输机,"
雅科夫列夫Yak-14(北约报告名称:“母马”)是史上最大的攻击滑翔机为苏联空军服役。它是诞生于1949年,当时其他空军放弃滑翔机的概念。1950年Yak-14成为第一个滑翔机飞越北极。
",NULL,平直翼,2人,18.44米,6750千克,NULL
霍莎式滑翔机,飞行器,242千米每小时,26.83米,NULL,1941年,NULL,NULL,NULL,NULL,NULL,{'$oid': '5cc9311f831b973d657f12b2'},NULL,http://images.huanqiu.com/sarons/2014/01/bd9b939d5c244dda702280e98ced92d9.jpg,5.95米,3804千克,1942年,英国,亚音速,运输机,,NULL,平直翼,27人,20.43米,NULL,NULL
Bristol-170运输机,飞行器,360千米每小时,32.9米,两台布里斯托 Hercules 734 活塞发动机，功率 2×1950马力,1945年12月,双发,NULL,NULL,NULL,NULL,{'$oid': '5cc9311f831b973d657f12b3'},NULL,http://images.huanqiu.com/sarons/2014/01/b800ddd6406a68e841e479bcb491a526.jpg,8.6米,12415千克,NULL,英国,亚音速,运输机,"
Bristol-170是英国布里斯托公司按经济客/货运或全货运飞机设计的运输机，原型机于1945年12月首飞，没有赶上二战，但当时英缅战争还在进行之中，被用于了当时战争的军事运输。Bristol-170采用上单翼设计，机头驾驶舱很高，下面是大型的双开式货舱门，方便装卸货物，共生产了214架用于军事及民用运输。
",英国布里斯托公司,平直翼,3人,20.8米,19967千克,NULL
L2D/零式运输机,飞行器,354千米每小时,28.96米,2台三菱金星43发动机，单台1080 hp (795 kW）,1939年,双发,NULL,NULL,NULL,3220千米,{'$oid': '5cc9311f831b973d657f12b4'},中岛飞机公司,,5.16米,7540千克,NULL,日本,亚音速,运输机,"
零式运输机在1942至1945年间共生产486架，大部分是昭和飞机工业生产，中岛飞机在战争初期因昭和产能不足曾进行少量生产，数量约为70架，由于日本海军的陆上运输与转场仅此一款机种，因此战损也多，到日本投降时零式运输机仅剩38架。1945年8月21日下午4时，一架日军零式运输机在6架我空军的P-51战斗机押送下运送日方代表去芷江向中国投降，抗日战争正式结束。
",日本昭和飞机工业 ,平直翼,25人,19.72米,12500千克,NULL
XC-2运输机,飞行器,890千米每小时,44.4米,2×GE CF6-80C2K1F，单台266 kN,2010年1月26日,双发,NULL,NULL,NULL,10000千米,{'$oid': '5cc9311f831b973d657f12b5'},川崎重工业,http://images.huanqiu.com/sarons/2014/01/a835b3bba98ba17f752f0170c8b7035a.jpg,14.2米,60800千克,NULL,日本,亚音速,运输机,"
川崎XC-2是一种由川崎重工业为日本航空自卫队开发的军用运输机。日本航空自卫队计划购买40架飞机，以取代已经老化的川崎C-1和C-130运输机机队。
",川崎重工业,后掠翼,3人,43.9米,141400千克,NULL
PL-1介寿号初级教练机,飞行器,100千米每小时,8.53米,一个95马力（71千瓦）大陆C -90活塞式发动机,1968年10月,单发,NULL,1982年,NULL,NULL,{'$oid': '5cc9311f831b973d657f12b6'},汉翔航空工业股份有限公司,http://images.huanqiu.com/sarons/2014/01/7bcdf880020d57233f57d2997887d7dd.jpg,2.64米,635千克,1970年,中国,亚音速,运输机,"
介寿号，全名PL-1介寿号初级教练机是由中华民国空军技术局（现为汉翔航空工业股份有限公司）于1968年购得匈牙利裔美籍工程师“L. Pazmany”设计的PL-1型飞机蓝图于台湾自行制造的单发动机螺旋桨双座小型飞机。
",NULL,平直翼,2人,5.77米,NULL,NULL
SC-5贝尔法斯特运输机,飞行器,566千米每小时,48.4米,4台罗·罗公司“苔因”RTy-12引擎，功率4×5730轴马力,1964年1月5日,四发,NULL,1976年（英国皇家空军）,NULL,8528千米,{'$oid': '5cc9311f831b973d657f12b7'},肖特兄弟公司,http://images.huanqiu.com/sarons/2014/01/64f62bace7c99f3402e01d31f8d742ac.jpg,14.33米,57607千克,1966年1月20日,英国,亚音速,运输机,,肖特兄弟公司,平直翼,155人,41.58米,104328千克,NULL
A400M运输机,飞行器,560千米每小时,42.2米,涡轮螺旋浆式发动机,2009年12月11日,四发,NULL,NULL,NULL,9300千米,{'$oid': '5cc93120831b973d657f12b8'},空中客车军用飞机公司,http://images.huanqiu.com/sarons/2014/01/1da9d4a325c3eab45f1e6ae2a0418473.jpg,14.6米,70000千克,NULL,美国,亚音速,运输机,,空中客车军用飞机公司,平直翼,2人,43.8米,141000千克,NULL
运-8,飞行器,662千米每小时,38米,NULL,1974年12月25日,四发,NULL,NULL,NULL,5620千米,{'$oid': '5cc93120831b973d657f12b9'},陕西飞机制造公司,http://images.huanqiu.com/sarons/2014/05/d6b4842d8fd3575c0e31895c9b5f42b8.jpg,11.16米,35488千克,NULL,中国,亚音速,运输机,,陕西飞机制造公司,平直翼,NULL,34.02米,61000千克,NULL
Embraer-170系列客机,飞行器,890千米每小时,26米,2×通用电气CF34-8E,2002年2月19日,双发,NULL,在役,NULL,3892千米,{'$oid': '5cc93120831b973d657f12ba'},巴西航空工业公司,http://images.huanqiu.com/sarons/2014/01/f2b765a5dafc15bbfca4453096e26c92.jpg,9.67米,21140千克,2004年3月,巴西,亚音速,运输机,,巴西航空工业公司,后掠翼,80人,29.9米,38600千克,NULL
伊尔-78空中加油机,飞行器,850千米每小时,50.5米,4台Aviadvigatel D-30 KP，单台118 kN,NULL,四发,NULL,NULL,NULL,7300千米,{'$oid': '5cc93120831b973d657f12bb'},伊留申航空集团,http://images.huanqiu.com/sarons/2014/01/7fb9a34181a124459091a547b2bf43c4.jpg,14.76米,72000千克,1987年,苏/俄,亚音速,运输机,"
伊尔-78（英文：Ilyushin Il-78）亦称伊留申-78，是由俄罗斯伊留申航空集团所研究及制造的空中加油机，是伊留申-76的衍生型。伊留申-78主要用于给予前线及远程战斗飞机及军用运输机进行空中加油。此外，伊留申-78可以同时用作运输机的用途，及可以向飞机场紧急运送燃油。伊留申-78采用了三点式空中加油系统，可以同时为到3架飞机加油。
",伊留申航空集团,后掠翼,6人,46.59米,210000千克,NULL
