名称,大类,最大飞行速度,翼展,发动机,首飞时间,发动机数量,旋翼直径,退役时间,关注度,最大航程,_id,生产单位,图片,机高,空重,服役时间,产国,飞行速度,类型,简介,研发单位,气动布局,乘员,机长,最大起飞重量
狂风战斗机,飞行器,2475千米每小时,26.6米,2台199-34R MK 103涡轮风扇后燃式发动机,1974年8月14日,双发,NULL,NULL,NULL,3890千米,{'$oid': '5cc930a3831b973d657f0fe8'},泛那维亚财团,http://images.huanqiu.com/sarons/2014/01/d3c4c91143690e81a9bcea8010e5a996.jpg,5.95米,13890千克,1979年,英国,超音速,战斗机,,NULL,变后掠翼,2人,16.72米,28000千克
MXY-7樱花特别攻击机,飞行器,630千米每小时,5.12米,NULL,1944年10月,单发,NULL,1945年,NULL,36千米,{'$oid': '5cc930a3831b973d657f0fe9'},NULL,http://images.huanqiu.com/sarons/2014/01/297cc0822d989b397be0aba6023b1681.jpg,1.16米,440千克,1945年,日本,亚音速,战斗机,,空技厂／横须贺,平直翼,1人,6.06米,2140千克
九试单座战斗机,飞行器,450千米每小时,11米,600马力寿5型9汽缸星型引擎,1935年2月4日,单发,NULL,NULL,NULL,NULL,{'$oid': '5cc930a4831b973d657f0fea'},NULL,,3.27米,1040千克,NULL,日本,亚音速,战斗机,"
九试单座战斗机（日语：九試単座戦闘機）是日本三菱重工在1934年制造的战斗机，且为九六式舰载战斗机的原型机。成品为型号“カ-14”（Ka-14）的九试单座战斗机。
",三菱重工 ,平直翼,NULL,7.67米,NULL
F-1战斗机,飞行器,1960.128千米每小时,7.88米,IAI制TF40-IHI-801A涡轮扇发动机两台 出力22.8仟牛顿（普通）、32.5仟牛顿（后燃器启动）,NULL,双发,NULL,2006年3月9日,NULL,1130千米,{'$oid': '5cc930a4831b973d657f0feb'},三菱集团，富士重工,http://images.huanqiu.com/sarons/2014/01/4dd0c8669065b7ba0f48d9b1061baac8.jpg,4.45米,6358千克,NULL,日本,超音速,战斗机,,NULL,后掠翼,1人,17.85米,13700千克
Me 265战斗机,飞行器,675千米每小时,17.4米,NULL,NULL,双发,NULL,NULL,NULL,2000千米,{'$oid': '5cc930a5831b973d657f0fec'},梅塞施密特公司（Messerschmitt）,,3.8米,6300千克,NULL,德国,亚音速,战斗机,,NULL,NULL,2人,10米,11000千克
1MF10 七试舰上战斗机,飞行器,320千米每小时,10米,A-4星型14汽缸星型引擎，570马力,1933年3月,单发,NULL,NULL,NULL,NULL,{'$oid': '5cc930a5831b973d657f0fed'},三菱重工,http://images.huanqiu.com/sarons/2014/01/abe74f12465ed4cbfbc8681c87f2e24b.jpg,3.36米,1225千克,NULL,日本,亚音速,战斗机,"
日本在1932年4月期间，大日本帝国海军分别向中岛飞机、三菱重工提出设计能够取代九O式舰上战斗机的新型飞机。之后中岛飞机设计出九一式战斗机，而三菱重工一方则指派由堀越二郎担任主要设计者；开发出日本史上第一架低翼飞机、编号“1MF10”的“七试舰上战斗机”，其机身则由杜拉铝金属打造。最后三菱的七试舰上战斗机方案未遭日本海军青睐而取消，主要设计者堀越二郎也对此成品未有好评，但七试舰上战斗机的设计概念则被崛越二郎引用于后来的九六式舰载战斗机上。
",三菱重工,平直翼,1人,6.92米,NULL
Ki-61飞燕/三式战斗机,飞行器,590千米每小时,12米,川崎 ハ-40 倒V型12缸液冷活塞引擎（1175 HP）,1941年,单发,NULL,NULL,NULL,1800千米,{'$oid': '5cc930a5831b973d657f0fee'},川崎重工,,3.7米,2380千克,NULL,日本,亚音速,战斗机,"
日本陆军三式战斗机川崎Ki-61 飞燕（Hien）为土井武夫设计，日本陆军在第二次世界大战中唯一量产的液冷式活塞引擎战机。最初作战遭遇时，由于倒置V型汽缸DB引擎的机鼻特征被盟军误认为是德国军援或授权生产的Bf 109，但后续报告又从外型布局判断认为较似意大利的Macchi C.202，因此获得了意大利风格的盟军代号""Tony""。
",NULL,平直翼,1人,8.75米,3616千克
Ki-44钟馗/2式单座战斗机,飞行器,605千米每小时,9.45米,中岛Ha-109（1500马力）,1940年8月,单发,NULL,NULL,NULL,1600千米,{'$oid': '5cc930a5831b973d657f0fef'},日本中岛飞机公司 ,http://images.huanqiu.com/sarons/2014/01/0b23929d7817a7987392071c4a072abb.jpg,3.248米,2109千克,1941年11月,日本,亚音速,战斗机,"
日本陆军二式单座战斗机中岛Ki-44钟馗，盟军绰号""Tojo""，是日军在第二次世界大战中的高空拦截型战斗机；1940年起到1944年共生产1175架。原定钟馗作为高空拦截战机用为了克制美国的轰炸机队，后来发现性能不足所以在一型乙开始换装轰炸机用的Ha-109引擎，钟馗于试飞期间的模拟作战曾经击败川崎重工的Ki-60及德国运来的Bf-109E。战争后期也确实成为日本本土被轰炸时的防御主力。
",NULL,NULL,1人,8.85米,2764千克
Ki-60试作战斗机,飞行器,560千米每小时,NULL,标称1100马力 德国DB601A V型液冷12缸发动机 ×1,1941年3月,单发,NULL,NULL,NULL,NULL,{'$oid': '5cc930a5831b973d657f0ff0'},NULL,http://images.huanqiu.com/sarons/2014/01/591e02db8a1f91aebbb4e0dc5de3d0d8.jpg,NULL,2150千克,NULL,日本,亚音速,战斗机,"
跟随欧洲高速战机理念，模仿德国高速飞机制作的一种战机，武器与发动机全部是从德国进口，1941年3月试飞，试飞员报告该机控制性差，翼载大，着陆速度过大，后来与Ki44钟馗做了空战性能测试，空战性能全面低于钟馗，于是就停了，只造几架。
",NULL,平直翼,1人,NULL,2750千克
89式舰上攻击机,飞行器,213千米每小时,14.98米,水冷式发动机(650匹马力),1929年12月28日,单发,NULL,NULL,NULL,NULL,{'$oid': '5cc930a5831b973d657f0ff1'},NULL,http://images.huanqiu.com/sarons/2014/01/aa1d68f3d7d3a2d2727bebd10def68d2.jpg,3.6米,2260千克,NULL,日本,亚音速,战斗机,"
B2M八九式舰上攻击机是日本帝国海军在中日战争初期使用的舰载鱼雷/水平轰炸机，此机是三菱重工依照英国T.7B舰载鱼雷/水平轰炸机的设计而来。八九式舰上攻击机的初期型名叫B2M1，在被使用后受到飞行员批评，认为它稳定性和操纵性不好兼且维修困难，为此三菱推出改良型B2M2，把它的主翼改短和修改了机尾形状，但B2M2仍然恶评如潮，日本飞行员都想尽快有新机种去取代它。
",三菱重工,平直翼,3人,10.18米,3600千克
F-16XL战隼战斗机,飞行器,2173千米每小时,9.45米, 普惠 F100-PW-200涡轮扇引擎,1985年,单发,NULL,NULL,NULL,NULL,{'$oid': '5cc930a6831b973d657f0ff2'},通用动力公司,http://images.huanqiu.com/sarons/2014/01/082decadedd90d06bb5afcee83d8be0d.jpg,5.09米,8272千克,NULL,美国,亚音速,战斗机,"
F-16XL是一种基于F-16战斗机生产型改装而来的验证试验机，属于F-16战斗机的衍生机型，共改装了两架，该机延续了F-16战斗机的特点，又在此基础上做了较大改变，使其多项性能远优于前者。测试证明这种改造是成功的，后来参与了双重任务战斗机的竞标，但因不敌竞争对手而落败，1985年试飞结束的F-16XL被封存。
",NULL,三角面,2人,15.02米,19187千克
Ki-64试作战斗机,飞行器,700千米每小时,13.5米,川崎HA72-11（HA201）串联V型液冷24缸发动机 ×1,1943年,单发,NULL,NULL,NULL,1000千米,{'$oid': '5cc930a6831b973d657f0ff3'},NULL,,4.25米,4050千克,NULL,日本,亚音速,战斗机,"
日本陆军X系列技术验证机之一，1940年研制，1943年完成，安装新式串联大功率液冷发动机，用于探索高空高速战机技术，安装有重型装甲，但原型机发动机散热不良，在几次试飞以后，发动机起火损坏。
",NULL,平直翼,1人,11.03米,5100千克
Me 329战斗机,飞行器,685千米每小时,17.5米, 2台戴姆勒-奔驰DB 603，2610千瓦（3500马力）,NULL,双发,NULL,NULL,NULL,2520千米,{'$oid': '5cc930a6831b973d657f0ff4'},NULL,http://images.huanqiu.com/sarons/2014/01/94c7b0ec40eaea4cf96e45facabe7055.jpg,4.74米,6950千克,NULL,德国,亚音速,战斗机,"
梅塞施密特Me 329(Messerschmitt Me 329)是一架由梅塞施密特公司于二次世界大战时设计与开发的重型战斗机原型。本来将会取代Me 410战斗机在德国空军里所扮演的角色。但战斗机的开发不被官方注目，当它的滑翔机模型第一次试飞的成绩出来后，这项计划便于1945年初被终止。
",梅塞施密特公司,飞翼,2人,7.72米,12150千克
Ki-27/97式战斗机,飞行器,460千米每小时,11.31米,中岛Ha-1乙型九汽缸空冷式发动机（610匹马力）,NULL,单发,NULL,NULL,NULL,800千米,{'$oid': '5cc930a6831b973d657f0ff5'},立川飞机制造厂，满洲飞机制造厂,http://images.huanqiu.com/sarons/2014/01/7210692ed9676063f5566f968659b140.jpg,3.25米,1110千克,1938年,日本,亚音速,战斗机,"
中岛九七式战斗机（盟军代号“Nate”、简称九七战，编号为Ki-27）是日本陆军在1930年代末期所开发的一种单发单座轻型战斗机，也是日本陆军装备的第一种下单翼结构战斗机。该机在太平洋战争初期曾广泛使用于中缅印战场，后期逐渐被更先进的型号，如一式陆战等所取代，幸存的飞机主要被作为教练机使用，也被神风特攻队用于自杀攻击。由于该机拥有极好的水平机动性，因此也被称为“终极的轻型战斗机”。
",日本中岛飞机公司,平直翼,1人,7.53米,1790千克
Ki-84疾风/四式战斗机,飞行器,687千米每小时,11.24米,中岛ハ-45 一一型 (前期)、二一型 (后期),NULL,单发,NULL,NULL,NULL,2500千米,{'$oid': '5cc930a6831b973d657f0ff6'},NULL,http://images.huanqiu.com/sarons/2014/01/67dc6637f13ab5ed9f55ad053cd23f7c.jpg,3.38米,2698千克,NULL,日本,亚音速,战斗机,"
旧日本陆军四式战斗机中岛Ki-84‘疾风’，盟军代号‘FRANK’，被公认是日军在第二次世界大战中最优秀的战斗机。
",日本中岛飞机公司,平直翼,1人,9.92米,3890千克
雅克-38战斗机,飞行器,1280千米每小时,7.32米,一台R-28升举/推进喷射发动机(推力=66.7kN)，2台RD-38升举喷射发动机(各自推力=31.9kN),1971年,双发,NULL,NULL,NULL,1300千米,{'$oid': '5cc930a6831b973d657f0ff7'},雅克列夫设计局,http://images.huanqiu.com/sarons/2014/01/b17e1ade972ad15bc541ab4de92d1175.jpg,4.25米,7385千克,NULL,苏/俄,亚音速,战斗机,"
雅克-38(原称雅克-36)是前苏联海军的舰载垂直起落战斗机，是苏联海军航空兵第一及唯一一款可供服役的垂直起降战斗机，同时也是苏联第一种实用化的固定翼舰载机型号。

雅克-38的诞生和苏联首批可起降固定翼战机的基辅级航空母舰有着密不可分的关系。主要用于对地面和海面目标实施低空攻击和侦察，并具有一定的舰队防空能力。北约组织给名叫“铁匠”(Forger)，该机“铁匠”A单座型战斗机和“铁匠”B双座教练型。
",NULL,后掠翼,1人,16.37米,11700千克
米格-1战斗机,飞行器,657千米每小时,10.2米,一台水冷式发动机(1350匹马力),1940年4月,单发,NULL,1943年,NULL,580千米,{'$oid': '5cc930a7831b973d657f0ff8'},NULL,,2.59米,2602千克,NULL,苏/俄,亚音速,战斗机,"
米格-1原名为I-200，于1938年开始研制，是米格设计局的飞机。由于当时苏联战斗机的命名方式改变，I-200改名为米格-1，是一款优秀的高速截击机。

1940年5月2日，米格-1在试飞中达到684.5公里/小时的速度，打破了当时的世界纪录。该机型一共生产了103架。
",米格设计局,NULL,1人,8.16米,3099千克
Ki-96试作双发战斗机,飞行器,600千米每小时,NULL,标称1350马力   三菱4式（HA112-2）复列星型气冷14缸发动机 ,1943年12月,单发,NULL,NULL,NULL,1600千米,{'$oid': '5cc930a7831b973d657f0ff9'},NULL,http://images.huanqiu.com/sarons/2014/01/fb9ed5a799af72e09fd9758395a87232.jpg,NULL,4550千克,NULL,日本,亚音速,战斗机,"
1943年12月试飞，该机设计取消了后座机枪，认为战斗机在实战中后座机枪作用不大，所以该机为单座战机，该机格斗性能比双座的Ki45有提高。
",NULL,平直翼,1人,NULL,6000千克
雅克-25战斗机,飞行器,1090千米每小时,11米,两台图曼斯基PД-9Б涡轮喷气发动机  ,1952年6月19日,双发,NULL,NULL,NULL,2010千米,{'$oid': '5cc930a7831b973d657f0ffa'},苏联雅克福列夫设计局,http://images.huanqiu.com/sarons/2014/01/9080021d7a415eb322c9641cc6f029d5.jpg,3.8米,5675千克,NULL,苏/俄,亚音速,战斗机,"雅克-25是苏联雅克福列夫设计局研制的双座双发亚音速截击机，1945年开始研制，1953年原型机首次试飞，1945年进入苏军服役,一直生产到1957年停产时共生产了480架。",NULL,后掠翼,NULL,16.67米,10045千克
Ki-98试作战斗袭击机,飞行器,710千米每小时,NULL,标称2207马力   三菱HA43-11复列星型气冷18缸发动机 ×1,NULL,单发,NULL,NULL,NULL,1200千米,{'$oid': '5cc930a7831b973d657f0ffb'},NULL,,NULL,3500千克,NULL,日本,亚音速,战斗机,"
陆军X系列秘密战机，由满洲飞机制造厂在战争末期试制，是一种战斗袭击机，机身采用海军X系列秘密战机震电的机身，机翼布局则模仿缴获的P38战斗机，但满洲飞机制造厂刚修好新厂房没多久战争就结束了，Ki98原型机没有完成全部制作，战争结束时未全部完工的Ki98被日本陆军自行销毁，工厂设备则在战后被苏俄搬走，Ki98设计主要用来在无护航的情况下扫射攻击对方前线重要机场，并且利用高速偷袭攻击对方空中飞行的轰炸机与战斗机，威胁压制对方的机场运行，另外还负责拦截高空入侵的敌轰炸机。
",满洲飞机制造厂,平直翼,1人,NULL,5500千克
Ki-94-1高高度战斗机,飞行器,800千米每小时,15米,标称2200马力   HA211复列星型气冷18缸发动机,NULL,单发,NULL,NULL,NULL,NULL,{'$oid': '5cc930a7831b973d657f0ffc'},NULL,,NULL,NULL,NULL,日本,亚音速,战斗机,"
旧日本陆军X系列秘密战机，Ki94系列可算是日本陆军二战时期螺旋桨战斗机最高成就之一，有1型，2型2种，1型是双引擎1推1拉，装2台HA211空冷2，200马力发动机，是高空高速截击机。
",立川公司,平直翼,1人,13.05米,8798千克
Ki-93试作袭击机,飞行器,624千米每小时,NULL,标称2130马力 三菱HA214复列星型气冷18缸发动机 ×2,NULL,双发,NULL,NULL,NULL,3000千米,{'$oid': '5cc930a7831b973d657f0ffd'},NULL,http://images.huanqiu.com/sarons/2014/01/85cbf2cb87fcdc1cd39083ca9e6c5f52.jpg,NULL,7686千克,NULL,日本,亚音速,战斗机,"
日本陆军X系列秘密战机，早在1939年日本陆军就认为战车的上部十分脆弱，可以利用飞机使用大口径机枪或航炮给予致命打击，所以有了发展反战车袭击机的想法，命令川崎公司预研。
",陆军航空工厂,平直翼,2人,NULL,10666千克
J1N1-S月光夜间战斗机 ,飞行器,507.4千米每小时,17米,荣二一型,1943年5月20日 ,单发,NULL,1945年8月15日,NULL,3778千米,{'$oid': '5cc930a8831b973d657f0ffe'},NULL,,4.56米,4562千克,NULL,日本,亚音速,战斗机,"
月光夜间战斗机，是第二次世界大战中期后旧日本海军开始使用的夜间战斗机。美军的代号则为“Irving”。一反之前“X式XX战斗机”的制式命名风格，由本机开始改变命名准则，“月光”不只是昵称，而成为正式名称。
",中岛重工,平直翼,2人,12.13米,7527千克
Ki-94-2高高度战斗机,飞行器,712千米每小时,14米,标称2350马力   中岛HA219复列星型气冷18缸发动机,NULL,单发,NULL,NULL,NULL,2200千米,{'$oid': '5cc930a8831b973d657f0fff'},NULL,,4.65米,4860千克,NULL,日本,亚音速,战斗机,"
这型飞机可以看做是日本陆军在螺旋桨战机方面的最高成就，此型战机的爬升速度，升限等性能达到活塞螺旋桨飞机的极限，日本陆军所拥有的一且航空技术都用上了。
",立川公司,平直翼,1人,12米,6550千克
Ki-83远距离战斗机,飞行器,704千米每小时,NULL,标称1720马力 三菱HA43-11型复列星型气冷18缸发动机 ×2,1944年11月18日,双发,NULL,NULL,NULL,2800千米,{'$oid': '5cc930a8831b973d657f1000'},三菱重工,,NULL,5980千克,NULL,日本,亚音速,战斗机,"
旧日本陆军X系列秘密战机，1944年11月18日试飞，速度快，控制反应性好，是旧日本陆军最强的战斗机之一，具有很高的格斗性能，并且飞行速度非常快，原本打算大量投产用于夺回太平洋制空权，但刚要投产就遇上了东海地震，生产Ki83的厂房设备被破坏，所以到战争期间仅造出了4架，后来都被美军缴获。
",NULL,平直翼,2人,NULL,8930千克
Ki-87试作高高度战斗机,飞行器,706千米每小时,NULL,标称2350马力 中岛HA44-12复列星型气冷18缸发动机,NULL,单发,NULL,NULL,NULL,3170千米,{'$oid': '5cc930a8831b973d657f1001'},NULL,http://images.huanqiu.com/sarons/2014/01/63d22d322ebe9e1feea33adef15428da.jpg,NULL,4387千克,NULL,日本,亚音速,战斗机,"
日本陆军X系列秘密战机，是种高空截击机，用来克制B29，火力强大具有完善的装甲防护，速度快爬升率高，高空机动性能突出，可以轻易的追击B29，如果能投入实战那将会对B29构成严重威胁，这种飞机对B29的威胁程度几乎相当海军的震电与极电。
",NULL,平直翼,1人,NULL,6100千克
Ki-109试作特殊防空战斗机,飞行器,550千米每小时,NULL,标称1870马力  三菱4式（HA104）复列星型气冷18缸发动机,NULL,双发,NULL,NULL,NULL,2000千米,{'$oid': '5cc930a9831b973d657f1002'},NULL,,NULL,7424千克,NULL,日本,亚音速,战斗机,"
旧日本陆军X系列秘密战机，Ki67是旧日本陆军二战期间性能最好的中型轰炸机，Ki67的性能很令日军满意，于是就在Ki67的基础上改装了一种重型拦截机Ki109，Ki109的空战性能对比野马等美军新式战机并不强，但Ki109装有一种日军二战时期最机密的对空武器，所以Ki109就成了严格保密的秘密战机，Ki109装的秘密武器是1门从陆军88式75mm远程高射炮修改出来的75mm重型航炮，日军研制这种航炮是因为在偌门坎事件后期，苏军的I16战机对日军轰炸机发射了航空火箭并击落了几架日军轰炸机，日军大惊，搞不清楚苏军用的是什么武器击落了日军的轰炸机，于是就不敢再出动轰炸机部队了。
",三菱,平直翼,4人,NULL,10800千克
Ki-10/95式战斗机,飞行器,400千米每小时,10.02米,一部水冷式发动机(850匹马力),1935年3月,单发,NULL,1942年,NULL,1100千米,{'$oid': '5cc930a9831b973d657f1003'},川崎重工,http://images.huanqiu.com/sarons/2014/01/a6d82a39df5cdbc70d2113ae0db8157b.jpg,3米,1360千克,NULL,日本,亚音速,战斗机,"
九五式战斗机是旧日本陆军最后的双翼战斗机。1934年，中岛和川崎争夺作为日本陆军新式战斗机，虽然中岛的Ki-11单翼战斗机比川崎的Ki-10双翼战斗机速度更快，但Ki-10有着更佳的格斗和爬升性能而中标，日本陆军把Ki-10命名为九五式战斗机，因为1935年是日本皇纪2595年，九五式战斗机可说是九二式战斗机的改良型，大幅减轻其重量和风阻以及采用金属制三叶螺旋桨而成。
",川崎重工,双翼,NULL,7.2米,1740千克
Ki-100/五式战斗机,飞行器,580千米每小时,12米,标称1350马力    三菱4式（HA112-2）复列星型气冷14缸发动机 ,NULL,单发,NULL,NULL,NULL,2200千米,{'$oid': '5cc930a9831b973d657f1004'},NULL,http://images.huanqiu.com/sarons/2014/01/5ae29f3a8ccb15001ec7b2065b51237d.jpg,3.75米,2525千克,NULL,日本,NULL,战斗机,"
Ki100也是战争末期日军实际投入了使用并对美军构成严重威胁的战斗机之一，但这种战机并非是专门设计的，其实是3式飞燕的改型，由于在地震和美军轰炸中川崎明石发动机厂被毁，新研制的HA140液冷发动机停产，当时一批准备安装HA140液冷发动机的Ki61已经完成的机身，但无发动机装配，于是川崎公司用一批闲置的HA112-2空冷1350马力发动机来取代HA140液冷发动机，1945年2月1日试飞，结果发现使用空冷发动机后由于机体更轻，操纵性能和机动性得到了很大改善，格斗性能大大提高，至于速度也没有受到太大影响，于是日军称呼装HA112发动机的Ki61为Ki100型，并给予5式战斗机的称号立即投产，1945.3-1945.8共生产了396架。
",川崎重工,平直翼,1人,8.82米,3495千克
雅克-28战斗机,飞行器,1890千米每小时,11.64米,两台图曼斯基R-11AF-2-300,1958年3月5日,双发,NULL,NULL,NULL,2630千米,{'$oid': '5cc930a9831b973d657f1005'},雅克列夫设计局,http://images.huanqiu.com/sarons/2014/01/22859294a5657c0db3a9ede3090cf3d4.jpg,3.95米,11000千克,NULL,苏/俄,亚音速,战斗机,"
雅克-28的原型机是一款超音速多用途飞机，它的改型雅克-28P是一款地地道道的战斗机/截击机，也是雅克局最后一款在前苏联空军服役的飞机。

该飞机完全是按照战术轰炸机的标准制造。雅克-28P，1958年3月首飞，1961年量产，到1967年停产前共制造了437架，原型机代号雅克-129。最后一架28P于80年代中期退役。
",NULL,后掠翼,4人,20.65米,18600千克
Ki-108试作高高度战斗机,飞行器,600千米每小时,NULL,标称1350马力 三菱HA112-2复列星型气冷14缸发动机,NULL,双发,NULL,NULL,NULL,2200千米,{'$oid': '5cc930a9831b973d657f1006'},NULL,,NULL,5200千克,NULL,日本,亚音速,战斗机,"
旧日本陆军X系列秘密战机，由Ki102发展而来，1945年3月首机完成，是高空截击机，安装了当时日本最好的航空电子设备，发动机有涡轮增压器，实用升限比Ki102有提高，高空飞行速度也超过了Ki102，这种飞机对B29的威胁很大，可以从任意方向截击B29，不过制造复杂而且出现太晚，战争结束前只制造完成4架，只有1架投入了实战。
",NULL,平直翼,1人,NULL,7600千克
P1Y2-S/极光夜间战斗机,飞行器,540千米每小时,20米,2具三菱重工制火星25型风冷式发动机(1850匹马力),1944年5月,单发,NULL,NULL,NULL,1815千米,{'$oid': '5cc930a9831b973d657f1007'},NULL,http://images.huanqiu.com/sarons/2014/01/4d5fc2267ea16fd26a91098be6da6e5d.jpg,4.3米,7138千克,NULL,日本,亚音速,战斗机,"
1944年5月首架极光试飞成功，当中发现极光和其前身银河相比在速度，爬升率和航程都有所下降，但作为一架夜间战斗机还是可容许的范围，故于同年投产使用。
",三菱重工,平直翼,2人,15米,13500千克
“管鼻燕”式舰载战斗机,飞行器,448千米每小时,14.14米,一台 1300 马力 Rolls-Royce Merlin 30 发动机,1937年1月13日,单发,NULL,1945年2月8日,NULL,1255千米,{'$oid': '5cc930a9831b973d657f1008'},NULL,http://images.huanqiu.com/sarons/2014/01/b5e203b0ceedbfc52accdfd0b4bf5774.jpg,3.25米,3182千克,1940年6月,英国,亚音速,战斗机,,Fairey航空公司,平直翼,2人,12.24米,NULL
雅克-15战斗机,飞行器,786千米每小时,9.2米,1 台PД-10型喷气式发动机 （ 推力8.82千牛）,1946年4月24日,单发,NULL,NULL,NULL,600千米,{'$oid': '5cc930aa831b973d657f1009'},雅克局,http://images.huanqiu.com/sarons/2014/01/14994b9f470b619e7a890aff88a7fabc.jpg,2.2米,1852千克,NULL,苏/俄,亚音速,战斗机,"
雅克-15战斗机雅克-15是前苏联雅克福列夫设计局研制的亚音速单座喷气式战斗机，也是前苏联的第一款喷气式战斗机，于1946年首次试飞，共生产了280架，几乎全用作当教练机来使飞行员适应喷气式战斗机。
",NULL,平直翼,1人,8.7米,2634千克
Ki-102/四式战斗袭击机,飞行器,580千米每小时,NULL,标称1350马力 三菱4式（HA112-2）复列星型气冷14缸发动机,NULL,双发,NULL,NULL,NULL,2000千米,{'$oid': '5cc930aa831b973d657f100a'},NULL,,NULL,4950千克,NULL,日本,亚音速,战斗机,"
旧日本陆军X系列秘密战机，这种战斗袭击机是在Ki96的基础上发展出来的，原本是为陆军研制双发重型高空截击机，后来发展成可执行高空截击与反战车袭击双重任务的战斗袭击机.。
",川崎公司,平直翼,1人,NULL,7300千克
13试双发陆上战斗机,飞行器,NULL,NULL,NULL,1941年5月2日,双发,NULL,NULL,NULL,NULL,{'$oid': '5cc930aa831b973d657f100b'},中岛飞机公司,,NULL,NULL,NULL,日本,亚音速,战斗机,"
1937年日本开始对中国实施跨海轰炸。而随着战线扩大，航程仅有1,200公里的九六式舰上战斗机逐渐无法胜任护航的任务，面对中国空军的激烈抵抗，九六式陆上攻击机受到相当大的损害。于是相对于委托三菱开发的十二试陆上攻击机（即之后的一式陆上攻击机），1938年时委托中岛飞机公司开发十三试双发陆上战斗机。中岛飞机公司任命曾经担任九七式舰上攻击机开发主任一职的中村胜治工程师（之后因病与大野和男工程师交接）筹组团队，进行开发。
",NULL,平直翼,NULL,NULL,NULL
F4U 海盗式战斗机,飞行器,718千米每小时,12.5米,帕拉特-惠特尼双黄蜂发动机18缸星型发动机,1939年5月29日,单发,NULL,NULL,NULL,1617千米,{'$oid': '5cc930aa831b973d657f100c'},NULL,http://images.huanqiu.com/sarons/2014/01/30fa8454b504861c6024f4c844e63759.jpg,4.9米,4175.3千克,1942年9月,美国,亚音速,战斗机,,钱斯沃特公司,平直翼,1人,10.3米,6654.2千克
喷火战斗机（Spitfire）,飞行器,652千米每小时,11.2米,劳斯莱斯梅林(灰背隼) 66,1936年3月5日,单发,NULL,NULL,NULL,1830千米,{'$oid': '5cc930aa831b973d657f100d'},英国维克斯-超级马林公司,http://images.huanqiu.com/sarons/2014/01/d5a6d15242353cc5ceaf33b02618f619.jpg,3.9米,2540千克,1938年8月,英国,亚音速,战斗机,,NULL,平直翼,1人,9.1米,3266千克
弯刀战斗机（Scimitar）,飞行器,1185千米每小时,11.33米,两台劳斯莱斯Avon涡轮发动机,1956年1月19日,双发,NULL,NULL,NULL,1237千米,{'$oid': '5cc930ab831b973d657f100e'},超级马林飞机公司,http://images.huanqiu.com/sarons/2014/01/0bc588444da29cc4b8061c8572f1cb5c.jpg,5.28米,10869千克,1957年,英国,亚音速,战斗机,,NULL,后掠翼,1人,16.84米,15513千克
Gloster Meteor“流星”战斗机,飞行器,668千米每小时,13.1米, Rolls-Royec Derwent8涡轮喷气发动机,1941年5月15日,双发,NULL,NULL,NULL,1610千米,{'$oid': '5cc930ab831b973d657f100f'},NULL,http://images.huanqiu.com/sarons/2014/01/467713b1d42dffe83bdd056ebad68dc7.jpg,3.96米,NULL,NULL,英国,亚音速,战斗机,,Gloster飞机公司,平直翼,1人,12.6米,6257千克
雅克-141战斗机,飞行器,1800千米每小时,10.1米,R-79(推进/升举)×1+RD-41(升举)×2,1987年,双发,NULL,NULL,NULL,2100千米,{'$oid': '5cc930ab831b973d657f1010'},NULL,http://images.huanqiu.com/sarons/2014/01/65de5f30f807bc9fd7bdba06b064db5e.jpg,5米,11650千克,NULL,苏/俄,亚音速,战斗机,,雅科夫列夫设计局,后掠翼,1人,18.3米,19500千克
CR.32战斗机,飞行器,360千米每小时,9.5米,飞雅特 A30 RA-bis V12 ，每个 447 kW（600匹马力）,NULL,单发,NULL,1953年（西班牙空军）,NULL,NULL,{'$oid': '5cc930ab831b973d657f1011'},NULL,http://images.huanqiu.com/sarons/2014/01/ee336e443f5c66cacdeb4e93a39057d3.jpg,2.36米,1455千克,NULL,意大利,亚音速,战斗机,"
飞雅特CR.32是意大利飞雅特于1930年代中期研制生产的一款双翼战斗机，又名“箭式”（Freccia）。CR.32以研发者克雷斯提诺·罗萨泰利（Caccia Rosatelli）的名字所命名，主要服役于参与西班牙内战的意大利空军军团、第二次世界大战初期的意大利皇家空军和少数外销至中华民国、奥地利、匈牙利、委内瑞拉和巴拉圭。CR.32被广泛用于西班牙内战中支援国民军，因为杰出的表现使它赢得不少声誉，并被认为是最优秀的双翼战斗机之一，但之后被更为先进的单翼机所取代，其机体设计以1939年的标准来说也已显得过时。西班牙还有取得CR.32的生产许可，持续使用至1953年才退役，自首次飞行算起，共被各个国家使用了20年。
",飞雅特,双翼,1人,7.47米,1975千克
